cp,grid_point,distance_gp,mean_gp_distance
T_5,10A,32.678144392549164,332.480649108934
T_6,5,50.60785720942746,345.2068426008034
T_7,5,53.75643085725987,359.29879483596096
T_8,48,12.371066777493892,417.76316114071335
T_9,48,31.858479308585057,400.5033975302995
T_10,37A,51.81411501297075,384.31042057210584
T_11,37A,39.36087335301487,369.3035136556604
T_12,37A,40.78584336503827,355.6884369087846
T_13,37A,55.02110990008795,343.45818991742823
T_14,34,38.511600613579446,332.5305901115573
T_15,34,33.51149630112923,323.02890120076574
T_16,34,44.861215492001186,315.0793796244309
T_17,23A,46.83072795425325,308.5677835273617
T_18,23A,22.78162410385353,303.41557453342443
T_19,23A,9.722076801637238,299.80636914478373
T_20,23A,30.32599939596156,298.21612565885937
T_21,23A,54.721520445274216,298.0768167271308
T_22,19A,39.93588117622288,299.36980468130486
T_23,19A,24.319242867248075,302.1903493341583
T_24,19A,28.941451003051025,306.81322704947655
U_1,9A,47.03597222312117,313.17300716226714
U_2,10A,48.5318008523038,321.1327711051258
U_3,10A,42.97761052028322,330.67261329768763
U_4,5,39.92974522761988,341.7391120167766
U_5,5,25.94902406917337,354.25813280150993
U_6,5,31.653602058973267,368.32162586003466
U_7,48,36.729626963953244,427.16998654832577
U_8,48,47.02111233979299,410.02579229043596
U_9,36A,37.01393003117707,393.9904190879575
U_10,36A,33.57527502944974,379.2128173666173
U_11,36A,46.19738811843714,365.8252615347647
U_12,34,45.424971001250405,353.70597911095865
U_13,34,21.299614024013167,342.7828048349831
U_14,34,9.672151482174204,333.2905499973424
U_15,34,31.353769738583004,325.6818443734828
U_16,34,55.87663789353662,319.3855718275103
U_17,23A,39.83269346240393,314.4367075911417
U_18,23A,34.090465026613174,311.0055527876667
U_19,23A,44.57922567529977,309.2193888455075
U_20,20,57.58023500347957,308.98967081837475
U_21,20,57.877905608020356,310.3011804958879
U_22,19A,48.6986782571839,313.1934868747906
U_23,9A,37.20135150450036,317.69248643834953
U_24,9A,22.3620422771624,323.8282418701929
V_1,9A,29.424698882861087,331.79222575729904
V_2,9A,49.81160987242088,341.366581318655
V_3,5,30.922683546269376,352.30657472840977
V_4,5,5.9312349389598475,364.48937696581197
V_5,49,37.007473599564,455.6014195570365
V_6,49,48.6726639414015,437.7505146482697
V_7,36A,43.04369595236457,420.8942627182493
V_8,36A,18.984103526624963,404.9888930580615
V_9,36A,10.847314459656188,390.34995162630787
V_10,36A,33.53451820646311,377.33333119387197
V_11,34,47.786918818845386,365.42418626406896
V_12,34,25.958331986409522,354.6887341219057
V_13,34,17.711914523529565,345.4048660772699
V_14,34,34.68746713095528,337.8326781285386
V_15,34,57.81315071199908,331.63124776372894
V_16,23A,62.48132586091477,326.79733976662794
V_17,23A,58.98671358920084,323.4230630855999
V_18,20,48.35474486357048,321.5470746123482
V_19,20,33.50996818154457,321.1894177012941
V_20,20,34.018913186603655,322.49166674616094
V_21,20,49.40937995901108,325.4510343833228
V_22,9A,30.352103961157617,329.9063987052734
V_23,9A,6.113141178095484,335.78768704189696
V_24,9A,20.07791076192583,343.80718363142455
W_1,9A,44.927789261129114,353.3786921485222
W_2,5,39.59383318399474,364.27539102773085
W_3,5,25.429091935616857,376.54078368144405
W_4,49,13.51298119915711,466.8446379200423
W_5,49,34.381330350616224,449.57067307589546
W_6,36A,45.74665666039842,433.1469295306705
W_7,36A,24.502915262632083,417.6093111009377
W_8,36A,18.911924110508078,403.26709401843647
W_9,36A,36.9399602514987,390.3452469833642
W_10,35A,48.12644490971143,378.57746023498913
W_11,35A,44.42111094421846,368.07445296189985
W_12,34,42.231564042910556,359.02184124865545
W_13,34,51.70119499453467,351.428538255159
W_14,22A2,46.949356491793864,345.20298300624836
W_15,22A2,42.85445974382774,340.3917433309773
W_16,22A2,52.1382732917276,337.066254030227
W_17,20,37.353011692906996,335.1603964790251
W_18,20,13.415810062734362,334.618595674562
W_19,20,14.640780187152703,335.91714439256776
W_20,20,38.70856433978674,339.0276261637245
W_21,9A,41.33027450476675,343.55043441515795
W_22,9A,28.71083028649471,349.59189016633155
W_23,9A,34.49730168432389,357.3406852095054
W_24,9A,52.96647760339195,366.674103210041
X_1,6,53.105420705406814,377.4561113969956
X_2,49,35.281089282640316,462.751139058215
X_3,49,59.10890477808985,446.74929529340886
X_4,36A,45.7167522621184,431.65653892806296
X_5,36A,42.98010508147352,417.63100744947775
X_6,35A,48.27793002434777,404.7605526045894
X_7,35A,27.16995796860634,393.02302911671165
X_8,35A,19.88182505866704,382.6317925832048
X_9,35A,36.08323154702563,373.8318089731072
X_10,22A2,48.16119076551404,366.3219391033772
X_11,22A2,26.497746973567168,360.02822034208856
X_12,22A2,18.28642094162215,355.1627719936906
X_13,22A2,34.875322242984176,351.9820122687691
X_14,20,41.25464225674478,350.16534324503965
X_15,20,22.06086697216902,349.7148454218726
X_16,20,22.826527108251337,350.971917888427
X_17,20,42.485891645910094,353.954894166522
X_18,8A,56.950778876100856,358.4395324637993
X_19,9A,53.48724323287635,364.4638142177312
X_20,6,52.887504917502824,372.0322858313435
X_21,6,34.275197937847395,381.07640464276744
X_22,6,28.321770349689018,391.6392469321003
X_23,35A,44.748660774733565,420.42333614551796
X_24,35A,20.245753912071166,408.80691593622936
Y_1,35A,8.183572714653723,398.49362705377945
Y_2,35A,31.2039034366,389.96464924727275
Y_3,22A2,45.464503370672986,382.56073116961153
Y_4,22A2,21.204980189084257,376.2700483064468
Y_5,22A2,9.050620866436978,371.34369928414554
Y_6,22A2,31.045269254674935,368.2747439000454
Y_7,22A2,55.635745844256725,366.51110586079204
Y_8,20,45.19969087431542,366.1539420997716
Y_9,20,45.57829036092527,367.34476893497435
Y_10,8A,39.930165545677816,370.0908621246127
Y_11,8A,31.96187395426452,374.4026751705395
Y_12,8A,41.21088916081909,380.35975607648925
Y_13,6,45.040620576897474,387.7984017582226
Y_14,6,20.158331694167977,396.55753944834913
Y_15,6,5.804461464541365,406.7496827733643
Y_16,35A,43.53159797884898,407.44162071052733
Y_17,22A2,55.35498455753981,400.11625330675207
Y_18,22A2,38.03688023581685,393.99276522102565
Y_19,22A2,32.84915179261991,389.2173390767821
Y_20,22A2,44.2827492111222,385.9153725638798
Y_21,21A,39.06679009603032,384.0231434676333
Y_22,21A,38.289535494372736,383.63464707171136
Y_23,8A,49.444012341898514,384.78649524511354
Y_24,8A,24.944352070744003,387.34069862494414
Z_1,8A,7.0259445803641665,391.32274912393603
Z_2,8A,26.946984334450857,397.33455811588914
Z_3,6,50.09849657187727,404.7012042477121
Z_4,6,29.791945486357818,413.36240048526486
Z_5,22A2,57.67020642288528,408.06488827366803
Z_6,21A,40.395316352821084,404.6612505800753
Z_7,21A,17.944996152784814,402.5571968402077
Z_8,21A,16.183241751480633,402.10113306209496
Z_9,21A,38.09730803784375,403.3494105941305
Z_10,8A,29.994266529732865,405.8881680013623
Z_11,8A,18.077587177457303,409.8464676730662
Z_12,8A,31.679256610131233,415.5423941225097
Z_13,8A,54.12933090293285,422.68271789283324
Z_14,6,51.17025154050637,431.1978912568341
Z_15,21A,38.68910385699899,423.06764942876913
