cp,x,y
R_19,185989.58347812097,447901.8771555084
R_20,185988.76263585387,447876.894331418
R_21,185987.94179632957,447851.9115071194
R_22,185987.1209595466,447826.92868262564
R_23,185986.30012550604,447801.94585793035
R_24,185985.47929420738,447776.9630330496
S_1,185984.6584656517,447751.980207951
S_2,185983.83763983776,447726.9973826576
S_3,185983.01681676623,447702.0145571633
S_4,185982.19599643693,447677.0317314738
S_5,185981.37517884935,447652.04890558077
S_6,185980.5543640043,447627.06607948075
S_7,185979.73355190124,447602.08325318707
S_8,185978.9127425412,447577.10042669164
S_9,185971.9883587756,448127.5434318531
S_10,185971.16749163085,448102.5606068066
S_11,185970.3466272276,448077.5777815628
S_12,185969.5257655667,448052.5949561098
S_13,185968.70490664788,448027.61213046155
S_14,185967.88405047174,448002.62930461747
S_15,185967.06319703656,447977.64647858863
S_16,185966.24234634417,447952.66365234193
S_17,185965.42149839373,447927.680825904
S_18,185964.6006531855,447902.6979992591
S_19,185963.77981071925,447877.71517243393
S_20,185962.95897099492,447852.7323453928
S_21,185962.13813401293,447827.7495181543
S_22,185961.31729977267,447802.7666907242
S_23,185960.49646827453,447777.7838630885
S_24,185959.67563951848,447752.80103524943
T_1,185958.85481350438,447727.81820721884
T_2,185958.03399023262,447702.8353789848
T_3,185957.2131697026,447677.85255055735
T_4,185956.39235191426,447652.86972190905
T_5,185955.57153686834,447627.8868930828
T_6,185954.75072456402,447602.9040640374
T_7,185953.92991500214,447577.9212347991
T_8,185947.0055328806,448128.36430049414
T_9,185946.18466553808,448103.381472697
T_10,185945.3638009377,448078.3986447068
T_11,185944.54293907972,448053.41581652267
T_12,185943.72207996307,448028.4329881309
T_13,185942.90122358792,448003.45015954965
T_14,185942.0803699553,447978.4673307638
T_15,185941.25951906442,447953.4845017789
T_16,185940.4386709151,447928.50167259824
T_17,185939.6178255082,447903.5188432173
T_18,185938.79698284247,447878.5360136493
T_19,185937.97614291884,447853.55318386963
T_20,185937.15530573748,447828.5703538909
T_21,185936.33447129745,447803.5875237056
T_22,185935.51363959975,447778.60469333245
T_23,185934.69281064332,447753.6218627634
T_24,185933.87198442942,447728.6390319769
W_1,185881.44385465805,447655.33217213274
W_2,185880.62303900893,447630.3493350675
W_3,185879.80222610143,447605.3664978068
W_4,185872.87790942146,448155.8097433978
W_5,185872.0570387458,448130.82690757874
W_6,185871.23617081167,448105.8440715541
W_7,185870.41530561843,448080.86123534205
W_8,185869.59444316657,448055.87839892897
W_9,185868.77358345606,448030.8955623235
W_10,185867.95272648733,448005.9127255095
W_11,185867.1318722599,447980.9298885068
W_12,185866.31102077308,447955.9470512952
W_13,185865.4901720279,447930.9642138878
W_14,185864.66932602398,447905.98137628054
W_15,185863.8484827614,447880.99853847985
W_16,185863.0276422404,447856.0157004789
W_17,185862.2068044604,447831.0328622841
W_18,185861.38596942136,447806.0500238744
W_19,185860.56513712447,447781.0671852785
W_20,185859.74430756792,447756.0843464737
W_21,185858.92348075332,447731.1015074699
W_22,185858.1026566796,447706.118668274
W_23,185857.28183534686,447681.1358288653
W_24,185856.46101675616,447656.1529892729
X_2,185847.07420188462,448131.64777699875
X_3,185846.25333375286,448106.66493824753
X_4,185845.4324683626,448081.68209928094
X_5,185844.61160571256,448056.6992601324
X_6,185843.79074580426,448031.7164207749
X_7,185842.9698886377,448006.73358122323
X_8,185842.14903421162,447981.750741482
X_9,185841.32818252657,447956.7679015219
X_10,185840.50733358308,447931.785061373
X_11,185839.68648738007,447906.8022210367
X_23,185818.80790541208,448032.5372794329
X_24,185817.98704804684,448007.5544371379
Y_1,185817.1661934221,447982.57159465185
Y_2,185816.345341539,447957.588751961
Y_4,185814.70364599486,447907.62306598126
Y_5,185813.8828023342,447882.6402227022
Y_6,185813.0619614146,447857.65737921
Y_7,185812.2411232356,447832.67453553184
Y_8,185811.42028779798,447807.6916916526
Y_9,185810.5994551007,447782.7088475698
Y_10,185809.7786251446,447757.72600328416
Y_11,185808.9577979293,447732.7431588052
Y_12,185808.13697345488,447707.7603141232
Z_1,185783.97495240546,447733.5639847694
Z_2,185783.154127731,447708.58113733784
Z_3,185782.33330579675,447683.5982897157
Z_4,185781.51248660346,447658.6154418958
Z_5,185763.91711094353,447884.28190771776
Z_6,185763.0962696251,447859.29905875877
Z_7,185762.2754310474,447834.31620959047
Z_8,185761.45459521058,447809.33336022496
Z_9,185760.63376211358,447784.35051065916
Z_10,185759.81293175774,447759.36766090215
Z_11,185758.99210414157,447734.38481093093
Z_12,185758.1712792664,447709.4019607638
Z_13,185757.3504571317,447684.4191104033
Z_14,185756.52963773813,447659.43625983933
Z_15,185735.6509115094,447785.1713425134
Z_16,185734.8300809528,447760.18848999863
Z_17,185734.00925313708,447735.2056372991
Z_18,185733.1884280619,447710.2227843866
Z_19,185732.36760572664,447685.2399312903
Z_20,185731.5467861316,447660.2570779782
Z_21,185708.20557411673,447711.04360821546
Z_22,185707.3847515806,447686.06075237336
