est_method,cp_time,dets,error,habitat
knn,5,47,155,3
knn,5,47,374,3
knn,5,47,322,3
knn,5,63,75,3
knn,5,63,259,3
knn,5,63,25,3
knn,5,31,274,3
knn,5,31,326,3
knn,5,31,382,3
knn,5,67,49,1
knn,5,67,50,1
knn,5,67,71,1
knn,5,46,257,1
knn,5,46,164,1
knn,5,46,322,1
knn,5,62,127,3
knn,5,62,292,3
knn,5,62,34,3
knn,5,46,67,1
knn,5,46,309,1
knn,5,46,93,1
knn,5,39,75,4
knn,5,39,75,4
knn,5,39,8,4
knn,5,49,9,4
knn,5,49,675,4
knn,5,49,23,4
knn,5,34,65,4
knn,5,34,144,4
knn,5,34,660,4
knn,5,54,24,2
knn,5,54,71,2
knn,5,54,90,2
knn,5,43,74,5
knn,5,43,166,5
knn,5,43,613,5
knn,5,49,113,2
knn,5,49,433,2
knn,5,49,224,2
knn,5,58,298,2
knn,5,58,97,2
knn,5,58,365,2
knn,5,71,100,2
knn,5,71,128,2
knn,5,71,211,2
knn,5,58,309,2
knn,5,58,53,2
knn,5,58,58,2
knn,5,55,16,2
knn,5,55,414,2
knn,5,55,17,2
knn,5,85,19,2
knn,5,85,12,2
knn,5,85,160,2
knn,5,76,33,2
knn,5,76,71,2
knn,5,76,207,2
knn,5,63,37,2
knn,5,63,56,2
knn,5,63,252,2
knn,5,48,485,4
knn,5,48,183,4
knn,5,48,190,4
knn,5,71,26,3
knn,5,71,131,3
knn,5,71,25,3
knn,5,73,127,3
knn,5,73,70,3
knn,5,73,34,3
knn,5,45,242,3
knn,5,45,384,3
knn,5,45,132,3
knn,5,53,380,3
knn,5,53,167,3
knn,5,53,37,3
knn,5,46,42,3
knn,5,46,219,3
knn,5,46,370,3
knn,5,51,151,3
knn,5,51,231,3
knn,5,51,147,3
knn,5,39,27,1
knn,5,39,209,1
knn,5,39,60,1
knn,5,48,173,1
knn,5,48,264,1
knn,5,48,84,1
knn,5,66,77,2
knn,5,66,58,2
knn,5,66,24,2
knn,5,26,735,5
knn,5,26,92,5
knn,5,26,30,5
knn,5,43,0,5
knn,5,43,63,5
knn,5,43,8,5
knn,5,38,499,5
knn,5,38,695,5
knn,5,38,26,5
knn,5,43,675,4
knn,5,43,47,4
knn,5,43,42,4
knn,5,53,56,3
knn,5,53,106,3
knn,5,53,93,3
knn,5,48,187,4
knn,5,48,93,4
knn,5,48,25,4
knn,5,50,403,2
knn,5,50,90,2
knn,5,50,209,2
knn,5,62,142,2
knn,5,62,67,2
knn,5,62,51,2
knn,5,43,180,4
knn,5,43,178,4
knn,5,43,234,4
knn,5,66,232,3
knn,5,66,172,3
knn,5,66,67,3
knn,5,50,123,2
knn,5,50,45,2
knn,5,50,48,2
knn,5,48,331,2
knn,5,48,302,2
knn,5,48,272,2
knn,5,39,369,3
knn,5,39,339,3
knn,5,39,279,3
knn,5,62,175,3
knn,5,62,23,3
knn,5,62,45,3
knn,5,33,366,2
knn,5,33,407,2
knn,5,33,285,2
knn,5,50,1,2
knn,5,50,258,2
knn,5,50,492,2
knn,5,36,463,3
knn,5,36,260,3
knn,5,36,359,3
knn,5,51,8,4
knn,5,51,251,4
knn,5,51,41,4
knn,5,33,692,4
knn,5,33,60,4
knn,5,33,54,4
knn,5,57,86,4
knn,5,57,118,4
knn,5,57,72,4
knn,5,41,188,3
knn,5,41,236,3
knn,5,41,586,3
knn,5,72,37,3
knn,5,72,65,3
knn,5,72,200,3
knn,5,52,261,2
knn,5,52,160,2
knn,5,52,116,2
knn,5,67,37,3
knn,5,67,78,3
knn,5,67,234,3
knn,5,45,466,3
knn,5,45,124,3
knn,5,45,317,3
knn,5,46,103,3
knn,5,46,503,3
knn,5,46,217,3
knn,5,44,27,2
knn,5,44,266,2
knn,5,44,460,2
knn,5,42,392,2
knn,5,42,226,2
knn,5,42,430,2
knn,5,23,437,3
knn,5,23,91,3
knn,5,23,204,3
knn,5,40,209,3
knn,5,40,89,3
knn,5,40,380,3
knn,5,61,50,1
knn,5,61,70,1
knn,5,61,192,1
knn,5,28,26,4
knn,5,28,750,4
knn,5,28,251,4
knn,5,60,46,3
knn,5,60,225,3
knn,5,60,100,3
knn,5,31,707,4
knn,5,31,727,4
knn,5,31,35,4
knn,5,47,42,4
knn,5,47,93,4
knn,5,47,56,4
knn,5,44,90,4
knn,5,44,509,4
knn,5,44,97,4
knn,5,41,672,4
knn,5,41,53,4
knn,5,41,318,4
knn,5,41,655,3
knn,5,41,25,3
knn,5,41,318,3
knn,5,54,160,3
knn,5,54,188,3
knn,5,54,172,3
knn,5,68,90,3
knn,5,68,45,3
knn,5,68,52,3
knn,5,56,127,3
knn,5,56,503,3
knn,5,56,120,3
knn,5,67,205,3
knn,5,67,132,3
knn,5,67,48,3
knn,5,47,190,3
knn,5,47,116,3
knn,5,47,575,3
knn,5,59,101,2
knn,5,59,235,2
knn,5,59,190,2
knn,5,38,200,3
knn,5,38,231,3
knn,5,38,276,3
knn,5,51,34,4
knn,5,51,529,4
knn,5,51,206,4
knn,5,66,147,3
knn,5,66,128,3
knn,5,66,195,3
knn,5,35,134,3
knn,5,35,67,3
knn,5,35,299,3
knn,5,42,308,3
knn,5,42,481,3
knn,5,42,94,3
knn,5,72,76,3
knn,5,72,45,3
knn,5,72,50,3
knn,5,40,309,1
knn,5,40,398,1
knn,5,40,263,1
knn,5,47,131,1
knn,5,47,422,1
knn,5,47,269,1
knn,5,34,24,4
knn,5,34,26,4
knn,5,34,210,4
knn,5,62,26,1
knn,5,62,58,1
knn,5,62,110,1
knn,5,44,727,4
knn,5,44,272,4
knn,5,44,90,4
knn,5,79,67,3
knn,5,79,34,3
knn,5,79,77,3
knn,5,63,154,3
knn,5,63,54,3
knn,5,63,105,3
knn,5,78,118,3
knn,5,78,76,3
knn,5,78,75,3
knn,5,43,58,3
knn,5,43,329,3
knn,5,43,125,3
knn,5,68,65,2
knn,5,68,179,2
knn,5,68,108,2
knn,5,72,247,1
knn,5,72,105,1
knn,5,72,35,1
knn,5,59,42,1
knn,5,59,373,1
knn,5,59,175,1
knn,5,70,30,2
knn,5,70,58,2
knn,5,70,313,2
knn,5,68,26,1
knn,5,68,72,1
knn,5,68,84,1
knn,5,49,571,2
knn,5,49,76,2
knn,5,49,48,2
knn,5,48,555,2
knn,5,48,131,2
knn,5,48,76,2
knn,5,40,556,2
knn,5,40,82,2
knn,5,40,223,2
knn,5,56,150,1
knn,5,56,502,1
knn,5,56,82,1
knn,5,43,47,1
knn,5,43,95,1
knn,5,43,499,1
knn,5,35,824,4
knn,5,35,134,4
knn,5,35,566,4
knn,5,50,26,4
knn,5,50,27,4
knn,5,50,67,4
knn,5,36,72,4
knn,5,36,785,4
knn,5,36,24,4
knn,5,50,87,5
knn,5,50,101,5
knn,5,50,45,5
knn,5,68,35,4
knn,5,68,24,4
knn,5,68,82,4
knn,5,41,41,2
knn,5,41,447,2
knn,5,41,686,2
knn,5,35,831,3
