est_method,error,nodes,node_count
Multilateration,21.06679003545559,Subset,NA
Multilateration,14.77076728507436,Subset,NA
Multilateration,9.468308662813964,Subset,NA
Multilateration,24.247014131672696,Subset,NA
Multilateration,33.80553118857946,Subset,NA
Multilateration,42.714745321574334,Subset,NA
Multilateration,44.89585753037092,Subset,NA
Multilateration,29.545984685795357,Subset,NA
Multilateration,42.569713014623375,Subset,NA
Multilateration,35.18873115994604,Subset,NA
Multilateration,35.34703215359962,Subset,NA
Multilateration,28.456683248624312,Subset,NA
Multilateration,15.432769217454718,Subset,NA
Multilateration,21.560721947392445,Subset,NA
Multilateration,38.90698181507167,Subset,NA
Multilateration,3.472298151354181,Subset,NA
Multilateration,6.157294248151691,Subset,NA
Multilateration,8.349910630164432,Subset,NA
Multilateration,19.31663066596407,Subset,NA
Multilateration,18.745821313466703,Subset,NA
Multilateration,20.96739196049902,Subset,NA
Multilateration,1.8143641702324464,Subset,NA
Multilateration,25.02860184468037,Subset,NA
Multilateration,51.60524923569098,Subset,NA
Multilateration,61.63308573524727,Subset,NA
Multilateration,65.93491573706528,Subset,NA
Multilateration,39.48366027802952,Subset,NA
Multilateration,30.646597620569867,Subset,NA
Multilateration,33.59594988826892,Subset,NA
Multilateration,47.72041707299224,Subset,NA
Multilateration,10.400826476847588,Subset,NA
Multilateration,17.259749307332523,Subset,NA
Multilateration,24.0635760191372,Subset,NA
Multilateration,15.482560784813147,Subset,NA
Multilateration,11.54463989285484,Subset,NA
Multilateration,7.440148057011133,Subset,NA
Multilateration,27.62177085759924,Subset,NA
Multilateration,22.28164240772432,Subset,NA
Multilateration,29.752545113360064,Subset,NA
Multilateration,46.34182764027429,Subset,NA
Multilateration,40.044868834080376,Subset,NA
Multilateration,46.42290911664496,Subset,NA
Multilateration,74.69683981103337,Subset,NA
Multilateration,54.59348836366002,Subset,NA
Multilateration,55.04578414483459,Subset,NA
Multilateration,87.82921576409663,Subset,NA
Multilateration,43.86947351138405,Subset,NA
Multilateration,56.02089233438683,Subset,NA
Multilateration,81.53073067988022,Subset,NA
Multilateration,6.966670583405804,Subset,NA
Multilateration,26.890941998151437,Subset,NA
Multilateration,52.48053473940739,Subset,NA
Multilateration,15.760403879313692,Subset,NA
Multilateration,64.47067695615137,Subset,NA
Multilateration,104.99351603557596,Subset,NA
Multilateration,107.91442040658218,Subset,NA
Multilateration,106.5095751817667,Subset,NA
Multilateration,77.15197765587989,Subset,NA
Multilateration,65.73258272558054,Subset,NA
Multilateration,67.68949700607412,Subset,NA
Multilateration,23.62328766172141,Subset,NA
Multilateration,52.485183768774355,Subset,NA
Multilateration,31.744314345715775,Subset,NA
Multilateration,69.06034701868515,Subset,NA
Multilateration,76.26484438721026,Subset,NA
Multilateration,55.42863664886988,Subset,NA
Multilateration,83.08486904442792,Subset,NA
Multilateration,53.39616704161523,Subset,NA
Multilateration,68.5104112615406,Subset,NA
Multilateration,62.353625234691094,Subset,NA
Multilateration,79.36723196608823,Subset,NA
Multilateration,80.96492589963836,Subset,NA
Multilateration,45.51293367199419,Subset,NA
Multilateration,38.87852652496678,Subset,NA
Multilateration,35.51393035766076,Subset,NA
Multilateration,25.87321412206186,Subset,NA
Multilateration,29.494128590179752,Subset,NA
Multilateration,54.957274072971344,Subset,NA
Multilateration,45.12142532792544,Subset,NA
Multilateration,47.74865419138351,Subset,NA
Multilateration,33.848070306939924,Subset,NA
Multilateration,53.43393749497593,Subset,NA
Multilateration,48.26698714023643,Subset,NA
Multilateration,43.43119421536911,Subset,NA
Multilateration,48.00148727981135,Subset,NA
Multilateration,45.23444045312127,Subset,NA
Multilateration,40.22221076707789,Subset,NA
Multilateration,32.94938763791957,Subset,NA
Multilateration,53.82755503091701,Subset,NA
