tag,cp,error,x_est,y_est,est,nearest_gp_det,grid_point,distance_gp,mean_gp_distance,dist_center,habitat
2D2D5555,B_16,23.103509654527972,186386.50257360004,447521.78775302944,Fingerprinting,TRUE,15A2,32.380776322872535,442.72156438916466,390.09593280229853,3
2D1E4C2A,B_17,30.52551356884428,186427.53691061685,447529.8721543347,Fingerprinting,FALSE,14,25.001126300832546,456.0483563228251,406.3324438400864,NA
521E521E,B_17,24.34549138465828,186385.47647626305,447531.0802285747,Fingerprinting,FALSE,14,25.001126300832546,456.0483563228251,406.3324438400864,NA
2D2D5555,B_17,44.33442356946187,186369.71473758089,447482.77438040054,Fingerprinting,FALSE,14,25.001126300832546,456.0483563228251,406.3324438400864,NA
2D1E4C2A,B_18,77.44005647661763,186379.31588797597,447562.49430704606,Fingerprinting,FALSE,14,22.49618761424276,470.66238582262497,423.4232788143784,3
2D2D5555,B_18,62.097818654799376,186341.1181069557,447472.3443078815,Fingerprinting,FALSE,14,22.49618761424276,470.66238582262497,423.4232788143784,3
521E521E,B_18,60.83176381403674,186342.22537292863,447473.11692753714,Fingerprinting,FALSE,14,22.49618761424276,470.66238582262497,423.4232788143784,3
2D1E4C2A,B_19,18.57680719553931,186375.78184867292,447980.7673949505,Fingerprinting,FALSE,43,33.86020399465233,409.2516905745778,344.4638731648519,3
2D2D5555,B_19,35.424474865651476,186372.59626909232,447959.43310754414,Fingerprinting,FALSE,43,33.86020399465233,409.2516905745778,344.4638731648519,3
521E521E,B_19,18.162378026586136,186382.54635492648,447973.54326916183,Fingerprinting,FALSE,43,33.86020399465233,409.2516905745778,344.4638731648519,3
2D1E4C2A,B_2,58.87151799475414,186371.8711069118,447847.101262996,Fingerprinting,FALSE,42A,44.599375548621914,390.40902407129624,319.98091038545635,4
2D2D5555,B_2,62.93060989601607,186391.8287667767,447946.70809569105,Fingerprinting,FALSE,42A,44.599375548621914,390.40902407129624,319.98091038545635,4
521E521E,B_2,41.98641498578543,186407.547675413,447929.3641922786,Fingerprinting,FALSE,42A,44.599375548621914,390.40902407129624,319.98091038545635,4
2D1E4C2A,B_20,26.627776546058815,186367.08943448175,447973.6853604905,Fingerprinting,FALSE,43,42.64408033358408,398.21244925068345,330.2825730194292,3
2D2D5555,B_20,7.788646211781888,186389.44040522748,447956.26019204047,Fingerprinting,FALSE,43,42.64408033358408,398.21244925068345,330.2825730194292,3
521E521E,B_20,18.37316832210687,186376.0279886236,447973.1649314319,Fingerprinting,FALSE,43,42.64408033358408,398.21244925068345,330.2825730194292,3
2D1E4C2A,B_21,41.43184431957128,186432.35948900488,447937.348672414,Fingerprinting,TRUE,41A,48.51147255993744,388.5477450363882,317.4394370037768,4
2D2D5555,B_21,30.4592903288708,186405.78356404952,447912.1059818969,Fingerprinting,TRUE,41A,48.51147255993744,388.5477450363882,317.4394370037768,4
521E521E,B_21,37.314876870094416,186423.83390679664,447921.07268703694,Fingerprinting,TRUE,41A,48.51147255993744,388.5477450363882,317.4394370037768,4
2D1E4C2A,B_22,34.65128767438603,186356.2020484868,447906.6792074853,Fingerprinting,TRUE,41A,35.91610261577774,380.2419485104913,306.1029472143088,4
2D2D5555,B_22,12.81576406944222,186396.97261776996,447902.890840602,Fingerprinting,TRUE,41A,35.91610261577774,380.2419485104913,306.1029472143088,4
521E521E,B_22,20.77148753890449,186404.0949414704,447898.3507918204,Fingerprinting,TRUE,41A,35.91610261577774,380.2419485104913,306.1029472143088,4
2D1E4C2A,B_23,50.529326786266694,186438.70389945817,447878.0999981115,Fingerprinting,TRUE,41A,38.42129908093025,373.45779956394114,296.446002540983,NA
521E521E,B_23,38.953879100766706,186390.58749578468,447927.6765524456,Fingerprinting,TRUE,41A,38.42129908093025,373.45779956394114,296.446002540983,NA
2D2D5555,B_23,33.23488770805803,186397.77179295063,447920.88286595856,Fingerprinting,TRUE,41A,38.42129908093025,373.45779956394114,296.446002540983,NA
2D1E4C2A,B_24,11.42343630352632,186381.6353783492,447854.6206721548,Fingerprinting,TRUE,41A,53.96343553718846,368.1841822590828,288.6372300105374,4
2D2D5555,B_24,45.76281809772786,186405.6721512285,447906.1746037884,Fingerprinting,TRUE,41A,53.96343553718846,368.1841822590828,288.6372300105374,4
521E521E,B_24,45.20195485906667,186407.08376684468,447904.9603473833,Fingerprinting,TRUE,41A,53.96343553718846,368.1841822590828,288.6372300105374,4
2D1E4C2A,B_3,48.265840158468784,186385.3597420862,447823.7049905136,Fingerprinting,FALSE,42A,49.43305254537781,385.1830823861928,312.760293416695,4
2D2D5555,B_3,45.24559540583916,186382.12865996695,447895.5723959849,Fingerprinting,FALSE,42A,49.43305254537781,385.1830823861928,312.760293416695,4
521E521E,B_3,28.90102144804272,186398.1501277187,447838.43367575615,Fingerprinting,FALSE,42A,49.43305254537781,385.1830823861928,312.760293416695,4
2D1E4C2A,B_4,63.82018835531482,186362.61006097417,447798.3456692211,Fingerprinting,TRUE,28A,36.82077451527349,381.33970811268495,307.4088796147806,4
2D2D5555,B_4,52.824696340667224,186386.5556498642,447792.02729279,Fingerprinting,TRUE,28A,36.82077451527349,381.33970811268495,307.4088796147806,4
521E521E,B_4,84.0836908562784,186401.90629756064,447754.562726844,Fingerprinting,TRUE,28A,36.82077451527349,381.33970811268495,307.4088796147806,4
2D1E4C2A,B_5,8.317140674812247,186403.5528360528,447813.803359007,Fingerprinting,TRUE,28A,13.856747764954678,378.76785372989104,304.02538938770715,NA
2D2D5555,B_5,25.935249172481154,186404.64698545088,447837.8956234149,Fingerprinting,TRUE,28A,13.856747764954678,378.76785372989104,304.02538938770715,NA
521E521E,B_5,26.851276786422464,186386.6668143989,447822.3487783822,Fingerprinting,TRUE,28A,13.856747764954678,378.76785372989104,304.02538938770715,NA
2D1E4C2A,B_6,53.3793634793868,186379.3393629486,447830.9623039798,Fingerprinting,TRUE,28A,16.669596438503074,377.8961594323392,302.6758257927838,3
2D2D5555,B_6,16.19188526680828,186394.97700434772,447785.71301245294,Fingerprinting,TRUE,28A,16.669596438503074,377.8961594323392,302.6758257927838,3
521E521E,B_6,30.054199263172016,186395.6583397767,447813.8306688845,Fingerprinting,TRUE,28A,16.669596438503074,377.8961594323392,302.6758257927838,3
2D1E4C2A,B_7,68.99494192222393,186342.79834563629,447748.2075109426,Fingerprinting,TRUE,28A,40.16674510614022,378.60549793689825,303.38733270541877,3
2D2D5555,B_7,36.70277299856074,186395.25454884465,447796.5368214949,Fingerprinting,TRUE,28A,40.16674510614022,378.60549793689825,303.38733270541877,3
521E521E,B_7,10.205053103882303,186399.98739106153,447762.67307626153,Fingerprinting,TRUE,28A,40.16674510614022,378.60549793689825,303.38733270541877,3
2D1E4C2A,B_8,0.9205054634388,186408.5501313611,447738.45225124666,Fingerprinting,FALSE,27,55.648815323676224,380.5250846152415,306.1455401818571,NA
2D2D5555,B_8,53.42592061511387,186390.57572901665,447688.01366275863,Fingerprinting,FALSE,27,55.648815323676224,380.5250846152415,306.1455401818571,NA
521E521E,B_8,57.14094583514298,186368.30142983212,447698.2922926331,Fingerprinting,FALSE,27,55.648815323676224,380.5250846152415,306.1455401818571,NA
2D1E4C2A,B_9,23.098199114380822,186391.43523444145,447697.5265158632,Fingerprinting,FALSE,27,39.09373795578543,383.7303970420136,310.895979229496,3
2D2D5555,B_9,35.49872667873682,186382.73477903765,447688.67172640585,Fingerprinting,FALSE,27,39.09373795578543,383.7303970420136,310.895979229496,3
521E521E,B_9,30.201423347288305,186383.89546048804,447730.4936958004,Fingerprinting,FALSE,27,39.09373795578543,383.7303970420136,310.895979229496,3
4B2A5555,C_1,31.34585624525442,186385.06271132905,447807.5406072601,Fingerprinting,TRUE,28A,39.31110437180161,364.2746592117378,282.8297521028091,5
55346178,C_1,39.45651712922045,186403.97652601317,447802.8503611437,Fingerprinting,TRUE,28A,39.31110437180161,364.2746592117378,282.8297521028091,5
782D5207,C_1,26.026075249708036,186395.0488573218,447813.8209727474,Fingerprinting,TRUE,28A,39.31110437180161,364.2746592117378,282.8297521028091,5
55346178,C_13,82.04076634369234,186346.89397518864,447614.974647667,Fingerprinting,TRUE,15A2,21.057763568592687,427.2436879669817,371.0354244485107,5
4B2A5555,C_13,33.53167724281704,186409.9071654854,447529.25940083177,Fingerprinting,TRUE,15A2,21.057763568592687,427.2436879669817,371.0354244485107,5
782D5207,C_13,29.937870225162637,186393.6915612271,447513.60230189224,Fingerprinting,TRUE,15A2,21.057763568592687,427.2436879669817,371.0354244485107,5
55346178,C_14,52.43550397124595,186427.48100282525,447528.17048625025,Fingerprinting,TRUE,15A2,46.05201943021636,441.1485418634943,388.0702311771893,4
782D5207,C_14,17.871645409023365,186393.50681030095,447520.8422109197,Fingerprinting,TRUE,15A2,46.05201943021636,441.1485418634943,388.0702311771893,4
4B2A5555,C_14,77.11679185450511,186404.37436623592,447586.0951272752,Fingerprinting,TRUE,15A2,46.05201943021636,441.1485418634943,388.0702311771893,4
55346178,C_15,18.368648234632893,186359.85584186556,447480.5879522858,Fingerprinting,FALSE,14,46.20991078369446,456.19281444111266,405.9306867593761,4
782D5207,C_15,61.149008749786105,186419.69354795892,447531.976775022,Fingerprinting,FALSE,14,46.20991078369446,456.19281444111266,405.9306867593761,4
4B2A5555,C_15,20.644307217031052,186357.56341858912,447480.0867227113,Fingerprinting,FALSE,14,46.20991078369446,456.19281444111266,405.9306867593761,4
55346178,C_16,54.85415850542494,186411.53229854692,447505.26913743006,Fingerprinting,FALSE,14,57.14896394047798,472.309773185199,424.5125917806968,4
4B2A5555,C_16,55.898599799558376,186319.45583117328,447464.0812237493,Fingerprinting,FALSE,14,57.14896394047798,472.309773185199,424.5125917806968,4
782D5207,C_16,59.347030170536016,186326.79019862216,447498.1477840407,Fingerprinting,FALSE,14,57.14896394047798,472.309773185199,424.5125917806968,4
55346178,C_17,66.35249990869757,186365.78031785967,447923.168354456,Fingerprinting,FALSE,44A,44.24314205933581,394.14829010497755,324.6502877265944,1
782D5207,C_17,26.146751508562392,186374.4546070633,447964.2609740161,Fingerprinting,FALSE,44A,44.24314205933581,394.14829010497755,324.6502877265944,1
4B2A5555,C_17,26.076400991019796,186392.34778161344,447981.2514548969,Fingerprinting,FALSE,44A,44.24314205933581,394.14829010497755,324.6502877265944,1
55346178,C_18,105.56344186092484,186282.7468998609,447900.6323249772,Fingerprinting,FALSE,44A,55.83006313040128,382.87676333680946,309.56263897529544,4
4B2A5555,C_18,18.36957756204934,186383.1097741316,447972.9415680093,Fingerprinting,FALSE,44A,55.83006313040128,382.87676333680946,309.56263897529544,4
782D5207,C_18,18.757790680156027,186383.98281223347,447972.009210668,Fingerprinting,FALSE,44A,55.83006313040128,382.87676333680946,309.56263897529544,4
55346178,C_19,24.99626391579879,186365.14636500544,447914.5473057642,Fingerprinting,TRUE,41A,35.17141172366014,372.9612954968632,295.8213068336896,4
4B2A5555,C_19,31.39846915068422,186346.92487081775,447964.4951277029,Fingerprinting,TRUE,41A,35.17141172366014,372.9612954968632,295.8213068336896,4
782D5207,C_19,42.22534572515555,186375.50504325473,447980.6641320444,Fingerprinting,TRUE,41A,35.17141172366014,372.9612954968632,295.8213068336896,4
4B2A5555,C_2,23.183457530272698,186404.12603739984,447829.25062923256,Fingerprinting,TRUE,28A,19.53465692409239,361.70577815276033,279.14850313368476,5
55346178,C_2,9.846782876085568,186396.58250420113,447812.3271358602,Fingerprinting,TRUE,28A,19.53465692409239,361.70577815276033,279.14850313368476,5
782D5207,C_2,30.04297633907841,186371.00926527663,447839.3254167371,Fingerprinting,TRUE,28A,19.53465692409239,361.70577815276033,279.14850313368476,5
4B2A5555,C_20,5.237487315727748,186364.97437851064,447909.3126430216,Fingerprinting,TRUE,41A,13.17693195178659,364.35432823503385,283.6220437536983,4
55346178,C_20,27.58069803948333,186366.0520828815,447942.11312843417,Fingerprinting,TRUE,41A,13.17693195178659,364.35432823503385,283.6220437536983,4
782D5207,C_20,30.651795351510923,186381.35459830193,447888.53143115505,Fingerprinting,TRUE,41A,13.17693195178659,364.35432823503385,283.6220437536983,4
4B2A5555,C_21,37.326393829006335,186332.53969554557,447909.1328865413,Fingerprinting,TRUE,41A,18.970011747764552,357.5473543136331,273.17152456079043,4
55346178,C_21,33.11184042831561,186365.4128751886,447922.6585049841,Fingerprinting,TRUE,41A,18.970011747764552,357.5473543136331,273.17152456079043,4
782D5207,C_21,30.183758860913784,186365.31672104076,447919.7320026272,Fingerprinting,TRUE,41A,18.970011747764552,357.5473543136331,273.17152456079043,4
4B2A5555,C_22,36.88234521269444,186382.1174907061,447896.42307805223,Fingerprinting,TRUE,41A,42.375908830304184,352.3450712027972,264.67697284932234,4
55346178,C_22,23.410458527028897,186379.149340513,447847.16639392864,Fingerprinting,TRUE,41A,42.375908830304184,352.3450712027972,264.67697284932234,4
782D5207,C_22,17.859923950351547,186354.8420184361,447848.9633178172,Fingerprinting,TRUE,41A,42.375908830304184,352.3450712027972,264.67697284932234,4
55346178,C_23,35.864983335067066,186387.98341308985,447814.1779224751,Fingerprinting,TRUE,28A,54.63133400482221,348.4629791757128,258.3314113374796,1
4B2A5555,C_23,23.944312370129587,186378.9293924849,447822.00883607974,Fingerprinting,TRUE,28A,54.63133400482221,348.4629791757128,258.3314113374796,1
782D5207,C_23,52.90468877990813,186394.07431859692,447797.0132269643,Fingerprinting,TRUE,28A,54.63133400482221,348.4629791757128,258.3314113374796,1
55346178,C_3,50.37209318044463,186336.09587415552,447782.1466965227,Fingerprinting,TRUE,28A,21.62102718886379,360.8049417675264,277.6780598619198,5
4B2A5555,C_3,55.95773790856022,186409.48195345912,447738.0086424707,Fingerprinting,TRUE,28A,21.62102718886379,360.8049417675264,277.6780598619198,5
782D5207,C_3,58.26223460409766,186426.15656271137,447746.5758136931,Fingerprinting,TRUE,28A,21.62102718886379,360.8049417675264,277.6780598619198,5
55346178,C_4,35.14188354023111,186409.07097992013,447738.03587045416,Fingerprinting,TRUE,28A,42.461287431125015,361.48758338306385,278.4534486337231,5
782D5207,C_4,73.15218598708655,186316.00099012375,447740.1197203002,Fingerprinting,TRUE,28A,42.461287431125015,361.48758338306385,278.4534486337231,5
4B2A5555,C_4,58.99812218783477,186374.58763000567,447705.7947192136,Fingerprinting,TRUE,28A,42.461287431125015,361.48758338306385,278.4534486337231,5
55346178,C_5,36.90073445868166,186358.64567035495,447765.2901084112,Fingerprinting,FALSE,26,45.29579513258808,363.45717925881905,281.45610880277707,5
