tag,cp,x,y,error,x_est,y_est
784C5552,H_3,186260.29019844197,447767.933915721,93.00954505848536,186326.93755679426,447832.8099906381
78612A1E,H_3,186260.29019844197,447767.933915721,101.18572788395454,186344.42839768642,447824.1416994819
34556652,H_20,186241.05326540768,447943.63432160334,22.979511934804584,186260.22468406634,447956.3037602403
784C5552,H_20,186241.05326540768,447943.63432160334,23.42714433206154,186262.55719361076,447952.93013589754
78612A1E,H_20,186241.05326540768,447943.63432160334,31.869232639919456,186255.81593113433,447971.878111889
34556652,H_19,186241.87411391665,447968.6171176678,18.394194360825047,186258.45483705506,447960.6530730678
784C5552,H_19,186241.87411391665,447968.6171176678,21.483876799268998,186259.85107363784,447956.8533648011
78612A1E,H_19,186241.87411391665,447968.6171176678,21.03110567560373,186260.9911996788,447959.8510217351
34556652,H_14,186251.26125947063,447493.12316060194,243.98490750217275,186025.29921397395,447585.15461763594
784C5552,H_14,186251.26125947063,447493.12316060194,205.69441336877563,186055.68998002145,447556.8575025671
78612A1E,H_14,186251.26125947063,447493.12316060194,198.23546772723267,186060.10782577,447545.6366393431
34556652,H_12,186252.90286003987,447543.08875425317,121.44298369255387,186131.46296473782,447543.9548473055
784C5552,H_12,186252.90286003987,447543.08875425317,138.2449192507593,186115.174826287,447531.1452866991
78612A1E,H_12,186252.90286003987,447543.08875425317,129.40002384210317,186123.66064882578,447549.47757345776
07610752,T_22,185935.51363959975,447778.60469333245,32.56329434586437,185941.00127905322,447746.5071240805
34191966,T_22,185935.51363959975,447778.60469333245,30.535911383954463,185931.43782128586,447748.3420168295
78335578,T_22,185935.51363959975,447778.60469333245,9.382071529416622,185943.37159896936,447773.4787065271
07610752,T_21,185936.33447129745,447803.5875237056,26.218600177395178,185942.27826747647,447829.12350385607
34191966,T_21,185936.33447129745,447803.5875237056,67.43392975846352,185913.51742184776,447867.04394290084
78335578,T_21,185936.33447129745,447803.5875237056,47.80712303368579,185945.70854274768,447850.4666000319
07610752,T_20,185937.15530573748,447828.5703538909,30.756358238299676,185941.56891482684,447859.0083831781
34191966,T_20,185937.15530573748,447828.5703538909,34.34282746717751,185931.50911865142,447862.4458667258
78335578,T_20,185937.15530573748,447828.5703538909,29.76063493221078,185943.8806683645,447857.5611263729
07610752,T_19,185937.97614291884,447853.5531838696,7.299932827370584,185942.17990281119,447859.5212172183
34191966,T_19,185937.97614291884,447853.5531838696,4.655955558668321,185941.32791182774,447856.7848347396
78335578,T_19,185937.97614291884,447853.5531838696,9.806830739895823,185946.43591944646,447858.5136385124
07610752,T_17,185939.6178255082,447903.5188432173,34.18611815518299,185936.0455945616,447937.5178114455
34191966,T_17,185939.6178255082,447903.5188432173,19.638613915870522,185926.49144122965,447918.1261424991
78335578,T_17,185939.6178255082,447903.5188432173,19.38102145086138,185942.74532286846,447922.6458595225
07610752,D_24,186336.8802289946,447815.43700615014,35.24324431151977,186317.06983679484,447844.5854989155
34191966,D_24,186336.8802289946,447815.43700615014,38.759221479220145,186354.2009316073,447850.110778813
78335578,D_24,186336.8802289946,447815.43700615014,32.40983887233166,186307.1311006614,447828.2972946052
07610752,D_23,186337.701062984,447840.4197922286,31.057938224589,186368.13799809592,447834.2401071431
34191966,D_23,186337.701062984,447840.4197922286,6.387293480184873,186333.6397167344,447845.3495979695
78335578,D_23,186337.701062984,447840.4197922286,20.20674063035471,186339.70215480548,447820.3123806989
07610752,D_22,186338.52189971888,447865.40257811494,45.056508560420944,186375.28748414354,447839.35683440184
34191966,D_22,186338.52189971888,447865.40257811494,30.10677056608617,186353.68681918338,447891.41109309666
78335578,D_22,186338.52189971888,447865.40257811494,30.672130466826022,186357.82572067704,447889.23830935586
07610752,D_20,186340.1635814228,447915.36814928224,26.107547935750915,186352.49103526084,447892.35428517626
34191966,D_20,186340.1635814228,447915.36814928224,3.4198144277889866,186343.51371278745,447914.68130828167
78335578,D_20,186340.1635814228,447915.36814928224,23.81165876439781,186357.24669256638,447898.7801293049
07610752,D_2,186360.22135402984,447764.65060633107,58.43923633520271,186336.6673179113,447818.1328625098
34191966,D_2,186360.22135402984,447764.65060633107,52.62035106061811,186374.1071049194,447815.4057761956
78335578,D_2,186360.22135402984,447764.65060633107,90.58385024935541,186318.6418866663,447845.12781937775
07610752,D_1,186361.04218232972,447789.6333900743,50.982148048016995,186332.16028757943,447831.6454785159
34191966,D_1,186361.04218232972,447789.6333900743,57.13653510073336,186362.15876521802,447846.7590137993
78335578,D_1,186361.04218232972,447789.6333900743,24.016701926398394,186375.4405906886,447808.8554557321
4B2A5555,P_16,186042.83251466873,448000.16674103733,34.92973697066733,186050.23998052784,448034.3020010244
55346178,P_16,186042.83251466873,448000.16674103733,38.39534259690535,186055.29054125512,448036.4847793476
782D5207,P_16,186042.83251466873,448000.16674103733,27.97433022276955,186065.43163990483,448016.6543936894
4B2A5555,C_20,186365.14636500544,447914.54730576416,17.360097934788442,186352.2738787947,447902.8994690955
55346178,C_20,186365.14636500544,447914.54730576416,22.644575274254453,186344.03854250975,447906.34751193493
782D5207,C_20,186365.14636500544,447914.54730576416,16.466230199418533,186352.26639636914,447904.288497602
2A786119,Q_13,186019.4914103151,448050.9532358917,20.262392646396922,186032.37094424057,448066.59555546456
4C524C66,Q_13,186019.4914103151,448050.9532358917,17.99196694758116,186001.74992334552,448053.94497698196
78073433,Q_13,186019.4914103151,448050.9532358917,40.2529621042918,186039.24184705078,448086.02774525277
072A5219,W_8,185869.59444316657,448055.87839892897,32.43748465526905,185900.09525297908,448044.8379726898
07614B78,W_8,185869.59444316657,448055.87839892897,24.45969364898666,185893.96906095734,448057.9166876612
66782A34,W_8,185869.59444316657,448055.87839892897,19.74375122173164,185889.19052971012,448058.288607319
072A5219,W_3,185879.80222610143,447605.3664978068,27.99690697833654,185907.78300388862,447604.41630057595
07614B78,W_3,185879.80222610143,447605.3664978068,22.322779424239354,185902.06116819548,447607.0535004971
66782A34,W_3,185879.80222610143,447605.3664978068,22.831849544570836,185902.39902013534,447602.0987381745
072A5219,W_24,185856.46101675616,447656.1529892729,29.979062331385226,185828.81030310434,447667.7366938968
07614B78,W_24,185856.46101675616,447656.1529892729,20.465018788696867,185852.22991340765,447676.175845175
66782A34,W_24,185856.46101675616,447656.1529892729,30.599313976250947,185825.88183147262,447655.0432851627
072A5219,W_19,185860.56513712447,447781.0671852785,3.906687261287497,185864.25224981233,447779.77590475726
07614B78,W_19,185860.56513712447,447781.0671852785,18.11798371599937,185866.77631349006,447798.08725055715
66782A34,W_19,185860.56513712447,447781.0671852785,13.772678399850674,185858.21821208936,447794.63842741714
072A5219,W_16,185863.0276422404,447856.0157004789,23.817810028253945,185852.2118123411,447834.7952881801
07614B78,W_16,185863.0276422404,447856.0157004789,9.80012710401113,185862.65310090894,447846.222733102
66782A34,W_16,185863.0276422404,447856.0157004789,44.40674828379279,185862.3675140204,447811.61385903205
072A5219,W_15,185863.8484827614,447880.99853847985,48.56008046504983,185848.48099188186,447834.9342178093
07614B78,W_15,185863.8484827614,447880.99853847985,80.20166552247841,185872.35072445736,447801.2488109648
66782A34,W_15,185863.8484827614,447880.99853847985,74.63808153923385,185865.24503282853,447806.37352347974
072A5219,W_11,185867.1318722599,447980.9298885068,8.98194517409886,185875.92015482465,447982.78499731026
07614B78,W_11,185867.1318722599,447980.9298885068,34.2425614709642,185901.0252746836,447985.8074174137
66782A34,W_11,185867.1318722599,447980.9298885068,36.45915777301882,185899.1510050393,447963.4929930959
072A5219,J_8,186206.22049784375,447644.66156758624,95.87367423703049,186136.29900390463,447579.0662468916
07614B78,J_8,186206.22049784375,447644.66156758624,99.9499999648481,186118.5900367473,447596.58969659085
66782A34,J_8,186206.22049784375,447644.66156758624,108.21602510731661,186133.56693351563,447564.46077157743
072A5219,J_7,186207.0413136241,447669.64436879795,149.7513532626455,186091.7891411495,447574.0284467772
07614B78,J_7,186207.0413136241,447669.64436879795,139.66676508384938,186117.50700139333,447562.4510285088
66782A34,J_7,186207.0413136241,447669.64436879795,151.0244339617245,186120.20167018537,447546.0836307745
072A5219,J_6,186207.86213214768,447694.6271698033,126.78352819864496,186111.61802356347,447777.1567680413
07614B78,J_6,186207.86213214768,447694.6271698033,132.57910107803403,186099.56822248345,447771.11015596555
66782A34,J_6,186207.86213214768,447694.6271698033,121.67673172290978,186107.02951038769,447762.73010242573
072A5219,J_23,186188.62513819544,447870.3276104578,140.34942317212793,186084.9732100327,447775.7007729702
07614B78,J_23,186188.62513819544,447870.3276104578,146.65046370953507,186077.99578658806,447774.05972864275
66782A34,J_23,186188.62513819544,447870.3276104578,125.12818137067289,186102.15496885258,447779.88441509765
072A5219,J_21,186190.2668222881,447920.29321455903,85.13912406941365,186266.07057950104,447959.05480430595
07614B78,J_21,186190.2668222881,447920.29321455903,78.772752662492593,186268.35230272857,447930.67609982315
66782A34,J_21,186190.2668222881,447920.29321455903,79.33450801504955,186262.06701539684,447954.03779088677
072A5219,J_20,186191.0876684501,447945.2760163119,72.5225830385745,186261.15713531754,447963.97881993867
07614B78,J_20,186191.0876684501,447945.2760163119,71.46535759845086,186254.9831264288,447977.28644877335
66782A34,J_20,186191.0876684501,447945.2760163119,72.08297043688941,186261.8239034173,447959.1446748509
072A5219,J_2,186211.14543368111,447794.5583718235,115.16128368668991,186096.85194322246,447780.4474080314
07614B78,J_2,186211.14543368111,447794.5583718235,101.59247772810774,186111.62476432056,447774.1459270664
66782A34,J_2,186211.14543368111,447794.5583718235,98.12747073707006,186114.5512534676,447777.2793422752
