tag,cp,error,x_cal,y_cal,x_est,y_est,node_count
4B2A5555,C_2,23.183457530272694,186386.84579500952,447813.7953412705,186404.12603739984,447829.25062923256,15
55346178,C_2,9.846782876085568,186386.84579500952,447813.7953412705,186396.58250420113,447812.3271358602,26
782D5207,C_2,30.04297633907841,186386.84579500952,447813.7953412705,186371.00926527666,447839.3254167371,15
4B2A5555,C_20,5.237487315727748,186365.14636500544,447914.54730576416,186364.97437851064,447909.31264302164,12
55346178,C_20,27.58069803948333,186365.14636500544,447914.54730576416,186366.05208288154,447942.11312843417,23
782D5207,C_20,30.651795351510923,186365.14636500544,447914.54730576416,186381.35459830193,447888.53143115505,16
4B2A5555,C_21,37.326393829006335,186364.32552297984,447889.5645230278,186332.53969554557,447909.1328865413,11
55346178,C_21,33.11184042831561,186364.32552297984,447889.5645230278,186365.4128751886,447922.6585049841,23
782D5207,C_21,30.183758860913784,186364.32552297984,447889.5645230278,186365.31672104076,447919.73200262716,13
4B2A5555,C_22,36.88234521269444,186363.50468369975,447864.581740082,186382.11749070606,447896.42307805223,12
55346178,C_22,23.410458527028897,186363.50468369975,447864.581740082,186379.149340513,447847.16639392864,21
782D5207,C_22,17.859923950351547,186363.50468369975,447864.581740082,186354.8420184361,447848.9633178172,13
55346178,C_23,35.864983335067066,186362.68384716427,447839.5989569467,186387.98341308982,447814.17792247515,25
4B2A5555,C_23,23.944312370129587,186362.68384716427,447839.5989569467,186378.9293924849,447822.00883607974,21
782D5207,C_23,52.90468877990813,186362.68384716427,447839.5989569467,186394.07431859692,447797.0132269643,17
55346178,C_3,50.37209318044463,186386.02496416413,447788.8125604796,186336.09587415552,447782.1466965227,26
4B2A5555,C_3,55.95773790856022,186386.02496416413,447788.8125604796,186409.48195345912,447738.0086424707,16
782D5207,C_3,58.26223460409766,186386.02496416413,447788.8125604796,186426.15656271135,447746.5758136931,16
55346178,C_4,35.14188354023111,186385.2041360646,447763.82977948576,186409.07097992013,447738.03587045416,21
782D5207,C_4,73.15218598708655,186385.2041360646,447763.82977948576,186316.00099012378,447740.1197203002,20
4B2A5555,C_4,58.99812218783477,186385.2041360646,447763.82977948576,186374.58763000567,447705.7947192136,11
55346178,C_5,36.90073445868166,186384.38331070953,447738.8469982959,186358.64567035498,447765.2901084112,25
4B2A5555,C_5,26.217106974479112,186384.38331070953,447738.8469982959,186375.84830029978,447714.0580835271,16
782D5207,C_5,40.98350384761317,186384.38331070953,447738.8469982959,186346.6429440722,447722.8685029441,19
55346178,C_6,29.630669546508653,186383.56248810003,447713.86421690695,186358.35510215117,447698.289741911,22
782D5207,C_6,44.27106755112664,186383.56248810003,447713.86421690695,186342.13202839444,447698.26151102944,18
4B2A5555,C_6,24.999777669929724,186383.56248810003,447713.86421690695,186408.5314998611,447712.62432367716,9
55346178,C_7,66.5081533438699,186382.74166823569,447688.88143531553,186316.27023792634,447691.0912800705,22
782D5207,C_7,16.765574001290563,186382.74166823569,447688.88143531553,186383.77272409838,447705.6152751439,12
4B2A5555,C_7,18.456888226719702,186382.74166823569,447688.88143531553,186397.07858799055,447677.2577760399,9
55346178,C_8,42.03509764809862,186381.92085111723,447663.89865351823,186349.2300597655,447690.3232934417,16
782D5207,C_8,44.76222742571845,186381.92085111723,447663.89865351823,186365.95956410718,447705.71843736625,13
4B2A5555,C_8,28.30476373895473,186381.92085111723,447663.89865351823,186397.6497000052,447687.43082220235,9
