method,error
Random Forest,32.62857990954058
Random Forest,35.29998827704531
Random Forest,17.1871100534349
Random Forest,22.51166511594753
Random Forest,131.81103648429917
Random Forest,44.70885533447661
Random Forest,42.466170144068606
Random Forest,49.6006324368037
Random Forest,85.05300065310743
Random Forest,37.52556274191963
Random Forest,48.99385425919511
Random Forest,24.610827637072948
Random Forest,36.10907288314792
Random Forest,42.21547804342384
Random Forest,23.489567448886767
Random Forest,54.86003411647016
Random Forest,45.90052757705247
Random Forest,14.838410418644711
Random Forest,31.40660099108348
Random Forest,31.50987278580656
Random Forest,20.15500603333773
Random Forest,24.38669043079435
Random Forest,31.34230944457437
Random Forest,27.61380521520467
Random Forest,8.615149452562829
Random Forest,19.15133355731278
Random Forest,11.875273410950625
Random Forest,77.36674027673892
Random Forest,27.138699914145263
Random Forest,30.332060535824127
Random Forest,59.49084177965605
Random Forest,6.963031955202715
Random Forest,34.434278732166035
Random Forest,43.40518834415646
Random Forest,8.375439422316335
Random Forest,27.906340055795315
Random Forest,41.21229902656627
Random Forest,39.85771666505762
Random Forest,15.601750605402586
Random Forest,41.70426592344866
Random Forest,11.03609482534423
Random Forest,15.020730070130332
Random Forest,41.12871463941114
Random Forest,14.062285982576787
Random Forest,67.43230872961605
Random Forest,45.59359226549705
Random Forest,9.61003653820636
Random Forest,63.32626177434522
Random Forest,17.291502422982354
Random Forest,36.113497283923266
Random Forest,58.87065048510695
Random Forest,49.274437208616895
Random Forest,24.95026792362334
Random Forest,48.09073988109531
Random Forest,41.084580903311256
Random Forest,55.55965811755199
Random Forest,81.81467882579726
Random Forest,53.88800393061143
Random Forest,58.275585318181655
Random Forest,12.306334771474743
Random Forest,43.19033254066908
Random Forest,28.212415329481203
Random Forest,24.371049929457165
Random Forest,35.93573227568095
Random Forest,45.20878871234042
Random Forest,21.011859870348037
Random Forest,40.594703222511875
Random Forest,19.039389352113215
Random Forest,26.011402953378436
Random Forest,38.01174274092824
Random Forest,38.57015559855299
Random Forest,106.78258428265964
Random Forest,58.299854819949346
Random Forest,51.75550660502725
Random Forest,54.26781772917643
Random Forest,61.56016032864746
Random Forest,13.022732324345702
Random Forest,39.20201536438211
Random Forest,44.79881899880428
Random Forest,22.167768196023644
Random Forest,93.8580776657182
Random Forest,32.65368776722838
Random Forest,33.67446152826238
Random Forest,35.59306957587586
Random Forest,45.51797804445264
Random Forest,36.71282790636066
Random Forest,32.00602057953598
Random Forest,36.32608610843888
Random Forest,43.20196725885124
Random Forest,41.41885259140786
Random Forest,30.646716529040543
Random Forest,85.67563356515966
Random Forest,5.769393059252538
Random Forest,12.920087171272856
Random Forest,97.96277322446956
Random Forest,15.30834349874786
Random Forest,33.144334458104495
Random Forest,65.58914190881075
Random Forest,43.96729263892217
Random Forest,13.19511120310464
Random Forest,40.16553335435417
Random Forest,52.585258593376054
Random Forest,23.432535407285744
Random Forest,44.6417999740025
Random Forest,0.5689246717774884
Random Forest,31.798876506625515
Random Forest,31.293243666650508
Random Forest,17.87157408473305
Random Forest,52.766584005993266
Random Forest,54.78182432025453
Random Forest,26.437448285197306
Random Forest,33.10845983081688
Random Forest,40.77792693725392
Random Forest,50.63577134554734
Random Forest,45.42030955078664
Random Forest,33.82049457914064
Random Forest,34.581595859599545
Random Forest,25.476959471236498
Random Forest,98.95829053041456
Random Forest,44.093157910540015
Random Forest,40.427257834648834
Random Forest,117.31022272862464
Random Forest,15.520093031811207
Random Forest,13.76621116782311
Random Forest,5.665618798764942
Random Forest,121.48084214422984
Random Forest,16.526169719817542
Random Forest,31.41779612601161
Random Forest,56.72159184044586
Random Forest,39.08145402404584
Random Forest,20.770408239170383
Random Forest,26.93521322049738
Random Forest,36.21864530834396
Random Forest,22.77589783755166
Random Forest,30.3229306594228
Random Forest,32.0041829786596
Random Forest,28.03208043027916
Random Forest,11.457223403099617
Random Forest,9.095058459051527
Random Forest,67.42080849988142
Random Forest,51.2213418905996
Random Forest,68.02506742405713
Random Forest,52.786705304200055
Random Forest,57.01884666903681
Random Forest,61.33686027680184
Random Forest,31.163706909641856
Random Forest,74.44652037990029
Random Forest,30.400630573694546
Random Forest,17.908698786025447
Random Forest,11.077860437233392
Random Forest,34.35300019361405
Random Forest,19.080543831158277
Random Forest,11.155655829915666
Random Forest,24.675577800285463
Random Forest,29.512349866565103
Random Forest,56.09784424836114
Random Forest,45.527478543456866
Random Forest,39.88495122216564
Random Forest,30.771865817532905
Random Forest,21.771615007439355
Random Forest,14.778574031704256
Random Forest,26.92685562928867
Random Forest,34.925611804379614
Random Forest,49.69429108028527
Random Forest,38.61040040267129
Random Forest,68.46148578909529
Random Forest,54.05324756379358
