est_method,cp_time,cp,tag,dets,error
knn,5,G_10,4C524C66,22,135
knn,5,G_10,78073433,22,113
knn,5,G_11,2A786119,28,79
knn,5,G_11,4C524C66,28,117
knn,5,G_11,78073433,28,95
knn,5,G_12,2A786119,32,71
knn,5,G_12,4C524C66,32,59
knn,5,G_12,78073433,32,79
knn,5,G_13,2A786119,18,67
knn,5,G_13,4C524C66,18,75
knn,5,G_13,78073433,18,67
knn,5,G_16,2A786119,61,59
knn,5,G_16,4C524C66,61,26
knn,5,G_16,78073433,61,41
knn,5,G_17,2A786119,59,50
knn,5,G_17,4C524C66,59,42
knn,5,G_17,78073433,59,12
knn,5,G_18,2A786119,63,56
knn,5,G_18,4C524C66,63,17
knn,5,G_18,78073433,63,51
knn,5,G_19,2A786119,61,77
knn,5,G_19,4C524C66,61,42
knn,5,G_19,78073433,61,89
knn,5,G_2,4C524C66,26,108
knn,5,G_2,78073433,26,42
knn,5,G_20,2A786119,63,16
knn,5,G_20,4C524C66,63,37
knn,5,G_20,78073433,63,49
knn,5,G_21,2A786119,73,17
knn,5,G_21,4C524C66,73,65
knn,5,G_21,78073433,73,34
knn,5,G_22,2A786119,57,53
knn,5,G_22,4C524C66,57,67
knn,5,G_22,78073433,57,116
knn,5,G_23,2A786119,28,120
knn,5,G_23,4C524C66,28,252
knn,5,G_23,78073433,28,75
knn,5,G_24,2A786119,37,48
knn,5,G_24,4C524C66,37,184
knn,5,G_24,78073433,37,358
knn,5,G_3,2A786119,44,67
knn,5,G_3,4C524C66,44,87
knn,5,G_3,78073433,44,258
knn,5,G_4,2A786119,27,95
knn,5,G_4,4C524C66,27,196
knn,5,G_4,78073433,27,146
knn,5,G_5,2A786119,36,213
knn,5,G_5,4C524C66,36,236
knn,5,G_5,78073433,36,221
knn,5,G_6,2A786119,22,171
knn,5,G_6,4C524C66,22,202
knn,5,G_6,78073433,22,132
knn,5,G_7,2A786119,22,125
knn,5,G_7,4C524C66,22,180
knn,5,G_7,78073433,22,146
knn,5,G_8,2A786119,29,34
knn,5,G_8,4C524C66,29,134
knn,5,G_8,78073433,29,95
knn,5,G_9,2A786119,21,136
knn,5,G_9,4C524C66,21,127
knn,5,G_9,78073433,21,146
knn,5,H_1,34556652,32,142
knn,5,H_1,784C5552,32,248
knn,5,H_1,78612A1E,32,216
knn,5,H_10,34556652,35,160
knn,5,H_10,784C5552,35,86
knn,5,H_10,78612A1E,35,95
knn,5,H_11,784C5552,29,35
knn,5,H_11,78612A1E,29,50
knn,5,H_12,34556652,21,152
knn,5,H_12,784C5552,21,37
knn,5,H_12,78612A1E,21,49
knn,5,H_13,34556652,23,150
knn,5,H_13,784C5552,23,110
knn,5,H_13,78612A1E,23,35
knn,5,H_14,34556652,26,117
knn,5,H_14,784C5552,26,153
knn,5,H_14,78612A1E,26,102
knn,5,H_16,34556652,27,411
knn,5,H_16,784C5552,27,406
knn,5,H_16,78612A1E,27,109
knn,5,H_17,34556652,42,221
knn,5,H_17,784C5552,42,228
knn,5,H_17,78612A1E,42,100
knn,5,H_18,34556652,17,364
knn,5,H_18,784C5552,17,163
knn,5,H_18,78612A1E,17,188
knn,5,H_19,34556652,25,344
knn,5,H_19,784C5552,25,483
knn,5,H_19,78612A1E,25,50
knn,5,H_2,34556652,37,213
knn,5,H_2,784C5552,37,26
knn,5,H_2,78612A1E,37,261
knn,5,H_20,34556652,43,119
knn,5,H_20,784C5552,43,171
knn,5,H_20,78612A1E,43,56
knn,5,H_21,34556652,25,300
knn,5,H_21,784C5552,25,93
knn,5,H_21,78612A1E,25,97
knn,5,H_22,34556652,35,125
knn,5,H_22,784C5552,35,56
knn,5,H_22,78612A1E,35,100
knn,5,H_23,34556652,28,292
knn,5,H_23,784C5552,28,142
knn,5,H_23,78612A1E,28,401
knn,5,H_24,34556652,50,223
knn,5,H_24,784C5552,50,178
knn,5,H_24,78612A1E,50,77
knn,5,H_3,34556652,49,183
knn,5,H_3,784C5552,49,30
knn,5,H_3,78612A1E,49,84
knn,5,H_4,34556652,34,231
knn,5,H_4,784C5552,34,208
knn,5,H_4,78612A1E,34,24
knn,5,H_5,34556652,36,194
knn,5,H_5,784C5552,36,139
knn,5,H_5,78612A1E,36,157
knn,5,H_6,34556652,38,231
knn,5,H_6,784C5552,38,218
knn,5,H_6,78612A1E,38,100
knn,5,H_7,34556652,32,212
knn,5,H_7,784C5552,32,118
knn,5,H_7,78612A1E,32,141
knn,5,H_8,34556652,32,168
knn,5,H_8,784C5552,32,140
knn,5,H_8,78612A1E,32,132
knn,5,H_9,34556652,24,162
knn,5,H_9,784C5552,24,139
knn,5,H_9,78612A1E,24,60
knn,5,I_1,071E2A4C,33,93
knn,5,I_1,19614B34,33,355
knn,5,I_1,554B554C,33,59
knn,5,I_10,071E2A4C,36,87
knn,5,I_10,19614B34,36,141
knn,5,I_10,554B554C,36,89
knn,5,I_11,071E2A4C,25,129
knn,5,I_11,554B554C,25,37
knn,5,I_12,071E2A4C,23,148
knn,5,I_12,19614B34,23,25
knn,5,I_12,554B554C,23,74
knn,5,I_13,071E2A4C,26,125
knn,5,I_13,19614B34,26,145
knn,5,I_13,554B554C,26,37
knn,5,I_14,071E2A4C,37,84
knn,5,I_14,19614B34,37,117
knn,5,I_14,554B554C,37,67
knn,5,I_15,071E2A4C,26,121
knn,5,I_15,19614B34,26,144
knn,5,I_15,554B554C,26,92
knn,5,I_16,071E2A4C,35,37
knn,5,I_16,19614B34,35,243
knn,5,I_16,554B554C,35,220
knn,5,I_17,071E2A4C,42,34
knn,5,I_17,19614B34,42,19
knn,5,I_17,554B554C,42,181
knn,5,I_18,071E2A4C,43,17
knn,5,I_18,19614B34,43,47
knn,5,I_18,554B554C,43,43
knn,5,I_19,071E2A4C,16,291
knn,5,I_19,19614B34,16,342
knn,5,I_19,554B554C,16,495
knn,5,I_2,071E2A4C,29,164
knn,5,I_2,19614B34,29,197
knn,5,I_2,554B554C,29,324
knn,5,I_20,071E2A4C,47,337
knn,5,I_20,19614B34,47,470
knn,5,I_20,554B554C,47,75
knn,5,I_21,071E2A4C,26,105
