tag,cp,error,x_est,y_est,est,nearest_gp_det,mean_RSSI,dets_node,grid_point,distance_gp,mean_gp_distance,dist_center
521E521E,B_18,60.8317638135461,186342.22537292872,447473.11692753446,knn,FALSE,NA,NA,14,22.49618761424276,470.66238582262497,423.4232788143784
2D1E4C2A,B_19,18.57680719375539,186375.78184867295,447980.7673949501,knn,FALSE,NA,NA,43,33.86020399465233,409.2516905745778,344.4638731648519
2D2D5555,B_19,35.424474862608,186372.5962690924,447959.4331075432,knn,FALSE,NA,NA,43,33.86020399465233,409.2516905745778,344.4638731648519
521E521E,B_19,18.16237802251262,186382.54635492657,447973.5432691621,knn,FALSE,NA,NA,43,33.86020399465233,409.2516905745778,344.4638731648519
2D1E4C2A,B_2,58.8715179956227,186371.8711069118,447847.10126299335,knn,FALSE,NA,NA,42A,44.599375548621914,390.40902407129624,319.98091038545635
2D2D5555,B_2,62.9306098967773,186391.82876677677,447946.70809569047,knn,FALSE,NA,NA,42A,44.599375548621914,390.40902407129624,319.98091038545635
521E521E,B_2,41.98641498837077,186407.54767541305,447929.3641922798,knn,FALSE,NA,NA,42A,44.599375548621914,390.40902407129624,319.98091038545635
2D1E4C2A,B_20,26.627776544191708,186367.08943448187,447973.6853604871,knn,FALSE,NA,NA,43,42.64408033358408,398.21244925068345,330.2825730194292
2D2D5555,B_20,7.788646215883217,186389.4404052275,447956.2601920376,knn,FALSE,NA,NA,43,42.64408033358408,398.21244925068345,330.2825730194292
521E521E,B_20,18.373168319015747,186376.02798862365,447973.1649314273,knn,FALSE,NA,NA,43,42.64408033358408,398.21244925068345,330.2825730194292
2D1E4C2A,B_21,41.43184431964541,186432.35948900488,447937.34867241007,knn,TRUE,NA,NA,41A,48.51147255993744,388.5477450363882,317.4394370037768
2D2D5555,B_21,35.295346905256395,186384.18346798985,447904.0685770053,knn,TRUE,NA,NA,41A,48.51147255993744,388.5477450363882,317.4394370037768
521E521E,B_21,37.31487687182763,186423.8339067967,447921.0726870325,knn,TRUE,NA,NA,41A,48.51147255993744,388.5477450363882,317.4394370037768
2D1E4C2A,B_22,34.65128767455177,186356.2020484868,447906.6792074831,knn,TRUE,NA,NA,41A,35.91610261577774,380.2419485104913,306.1029472143088
2D2D5555,B_22,12.815764071213929,186396.97261776996,447902.8908405985,knn,TRUE,NA,NA,41A,35.91610261577774,380.2419485104913,306.1029472143088
521E521E,B_22,20.771487539699628,186404.09494147045,447898.35079181794,knn,TRUE,NA,NA,41A,35.91610261577774,380.2419485104913,306.1029472143088
2D1E4C2A,B_23,50.52932678621765,186438.7038994582,447878.0999981078,knn,TRUE,NA,NA,41A,38.42129908093025,373.45779956394114,296.446002540983
521E521E,B_23,38.95387910361734,186390.5874957847,447927.6765524446,knn,TRUE,NA,NA,41A,38.42129908093025,373.45779956394114,296.446002540983
2D2D5555,B_23,33.234887710197,186397.77179295063,447920.88286595687,knn,TRUE,NA,NA,41A,38.42129908093025,373.45779956394114,296.446002540983
2D1E4C2A,B_24,11.423436303089698,186381.6353783492,447854.62067215075,knn,TRUE,NA,NA,41A,53.96343553718846,368.1841822590828,288.6372300105374
2D2D5555,B_24,45.762818100155506,186405.6721512285,447906.1746037864,knn,TRUE,NA,NA,41A,53.96343553718846,368.1841822590828,288.6372300105374
521E521E,B_24,45.201954861241866,186407.08376684468,447904.9603473811,knn,TRUE,NA,NA,41A,53.96343553718846,368.1841822590828,288.6372300105374
2D1E4C2A,B_3,48.26584015983743,186385.35974208624,447823.7049905108,knn,FALSE,NA,NA,42A,49.43305254537781,385.1830823861928,312.760293416695
2D2D5555,B_3,45.24559540512881,186382.12865996704,447895.572395983,knn,FALSE,NA,NA,42A,49.43305254537781,385.1830823861928,312.760293416695
521E521E,B_3,28.901021449344498,186398.1501277187,447838.43367575353,knn,FALSE,NA,NA,42A,49.43305254537781,385.1830823861928,312.760293416695
2D1E4C2A,B_4,63.82018835518362,186362.6100609742,447798.3456692195,knn,TRUE,NA,NA,28A,36.82077451527349,381.33970811268495,307.4088796147806
2D2D5555,B_4,52.824696340349185,186386.55564986425,447792.0272927886,knn,TRUE,NA,NA,28A,36.82077451527349,381.33970811268495,307.4088796147806
521E521E,B_4,84.08369085604747,186401.90629756064,447754.5627268425,knn,TRUE,NA,NA,28A,36.82077451527349,381.33970811268495,307.4088796147806
2D1E4C2A,B_5,8.317140674771641,186403.5528360528,447813.80335900525,knn,TRUE,NA,NA,28A,13.856747764954678,378.76785372989104,304.02538938770715
2D2D5555,B_5,25.935249172321416,186404.64698545085,447837.8956234134,knn,TRUE,NA,NA,28A,13.856747764954678,378.76785372989104,304.02538938770715
521E521E,B_5,26.8512767859278,186386.6668143989,447822.3487783795,knn,TRUE,NA,NA,28A,13.856747764954678,378.76785372989104,304.02538938770715
2D1E4C2A,B_6,53.37936347868394,186379.3393629486,447830.9623039771,knn,TRUE,NA,NA,28A,16.669596438503074,377.8961594323392,302.6758257927838
2D2D5555,B_6,16.19188526675489,186394.97700434775,447785.7130124513,knn,TRUE,NA,NA,28A,16.669596438503074,377.8961594323392,302.6758257927838
521E521E,B_6,30.054199263272103,186395.6583397767,447813.8306688827,knn,TRUE,NA,NA,28A,16.669596438503074,377.8961594323392,302.6758257927838
2D1E4C2A,B_7,68.99494192237724,186342.79834563629,447748.2075109402,knn,TRUE,NA,NA,28A,40.16674510614022,378.60549793689825,303.38733270541877
2D2D5555,B_7,36.70277299867893,186395.25454884465,447796.5368214933,knn,TRUE,NA,NA,28A,40.16674510614022,378.60549793689825,303.38733270541877
521E521E,B_7,10.20505310387464,186399.98739106156,447762.67307626,knn,TRUE,NA,NA,28A,40.16674510614022,378.60549793689825,303.38733270541877
2D1E4C2A,B_8,0.9205054631143428,186408.55013136112,447738.4522512441,knn,FALSE,NA,NA,27,55.648815323676224,380.5250846152415,306.1455401818571
2D2D5555,B_8,53.425920614851655,186390.57572901665,447688.0136627571,knn,FALSE,NA,NA,27,55.648815323676224,380.5250846152415,306.1455401818571
521E521E,B_8,57.140945836235815,186368.30142983215,447698.2922926297,knn,FALSE,NA,NA,27,55.648815323676224,380.5250846152415,306.1455401818571
2D1E4C2A,B_9,23.098199115006462,186391.43523444148,447697.52651586087,knn,FALSE,NA,NA,27,39.09373795578543,383.7303970420136,310.895979229496
2D2D5555,B_9,35.49872667997566,186382.73477903768,447688.67172640265,knn,FALSE,NA,NA,27,39.09373795578543,383.7303970420136,310.895979229496
521E521E,B_9,30.201423346558276,186383.8954604881,447730.49369579775,knn,FALSE,NA,NA,27,39.09373795578543,383.7303970420136,310.895979229496
4B2A5555,C_1,31.345856246358963,186385.06271132905,447807.5406072571,knn,TRUE,NA,NA,28A,39.31110437180161,364.2746592117378,282.8297521028091
55346178,C_1,39.456517129049416,186403.97652601317,447802.8503611421,knn,TRUE,NA,NA,28A,39.31110437180161,364.2746592117378,282.8297521028091
782D5207,C_1,26.026075250632157,186395.04885732173,447813.8209727446,knn,TRUE,NA,NA,28A,39.31110437180161,364.2746592117378,282.8297521028091
55346178,C_13,82.04076634272187,186346.8939751887,447614.9746476642,knn,TRUE,NA,NA,15A2,21.057763568592687,427.2436879669817,371.0354244485107
4B2A5555,C_13,33.531677243059306,186409.9071654854,447529.25940082903,knn,TRUE,NA,NA,15A2,21.057763568592687,427.2436879669817,371.0354244485107
782D5207,C_13,29.937870227580817,186393.6915612271,447513.6023018876,knn,TRUE,NA,NA,15A2,21.057763568592687,427.2436879669817,371.0354244485107
55346178,C_14,52.435503971167314,186427.48100282525,447528.1704862478,knn,TRUE,NA,NA,15A2,46.05201943021636,441.1485418634943,388.0702311771893
782D5207,C_14,17.871645408729137,186393.50681030095,447520.84221091686,knn,TRUE,NA,NA,15A2,46.05201943021636,441.1485418634943,388.0702311771893
4B2A5555,C_14,77.11679185423303,186404.37436623595,447586.0951272728,knn,TRUE,NA,NA,15A2,46.05201943021636,441.1485418634943,388.0702311771893
55346178,C_15,18.368648234017535,186359.85584186556,447480.5879522851,knn,FALSE,NA,NA,14,46.20991078369446,456.19281444111266,405.9306867593761
782D5207,C_15,61.14900874880471,186419.69354795897,447531.9767750185,knn,FALSE,NA,NA,14,46.20991078369446,456.19281444111266,405.9306867593761
4B2A5555,C_15,20.644307216880993,186357.56341858912,447480.0867227096,knn,FALSE,NA,NA,14,46.20991078369446,456.19281444111266,405.9306867593761
55346178,C_16,54.85415850363104,186411.53229854692,447505.2691374284,knn,FALSE,NA,NA,14,57.14896394047798,472.309773185199,424.5125917806968
4B2A5555,C_16,55.89859979952684,186319.4558311733,447464.081223747,knn,FALSE,NA,NA,14,57.14896394047798,472.309773185199,424.5125917806968
782D5207,C_16,59.347030168562085,186326.79019862216,447498.147784038,knn,FALSE,NA,NA,14,57.14896394047798,472.309773185199,424.5125917806968
55346178,C_17,66.35249990811731,186365.78031785967,447923.16835445515,knn,FALSE,NA,NA,44A,44.24314205933581,394.14829010497755,324.6502877265944
782D5207,C_17,26.146751509846847,186374.4546070633,447964.26097401336,knn,FALSE,NA,NA,44A,44.24314205933581,394.14829010497755,324.6502877265944
4B2A5555,C_17,26.07640099143385,186392.34778161347,447981.2514548941,knn,FALSE,NA,NA,44A,44.24314205933581,394.14829010497755,324.6502877265944
55346178,C_18,105.56344186175816,186282.74689986097,447900.63232497126,knn,FALSE,NA,NA,44A,55.83006313040128,382.87676333680946,309.56263897529544
4B2A5555,C_18,18.36957756431952,186383.10977413168,447972.9415680097,knn,FALSE,NA,NA,44A,55.83006313040128,382.87676333680946,309.56263897529544
782D5207,C_18,18.757790682153143,186383.9828122335,447972.0092106685,knn,FALSE,NA,NA,44A,55.83006313040128,382.87676333680946,309.56263897529544
55346178,C_19,24.99626391615071,186365.14636500544,447914.54730576207,knn,TRUE,NA,NA,41A,35.17141172366014,372.9612954968632,295.8213068336896
4B2A5555,C_19,31.39846914907105,186346.92487081775,447964.495127699,knn,TRUE,NA,NA,41A,35.17141172366014,372.9612954968632,295.8213068336896
782D5207,C_19,42.22534572350459,186375.5050432548,447980.6641320409,knn,TRUE,NA,NA,41A,35.17141172366014,372.9612954968632,295.8213068336896
4B2A5555,C_2,23.18345753026811,186404.1260373998,447829.25062923087,knn,TRUE,NA,NA,28A,19.53465692409239,361.70577815276033,279.14850313368476
55346178,C_2,9.84678287616094,186396.58250420113,447812.3271358578,knn,TRUE,NA,NA,28A,19.53465692409239,361.70577815276033,279.14850313368476
782D5207,C_2,30.042976337510904,186371.00926527663,447839.3254167335,knn,TRUE,NA,NA,28A,19.53465692409239,361.70577815276033,279.14850313368476
4B2A5555,C_20,5.237487316542215,186364.97437851067,447909.31264301867,knn,TRUE,NA,NA,41A,13.17693195178659,364.35432823503385,283.6220437536983
55346178,C_20,27.58069803901696,186366.0520828815,447942.11312843155,knn,TRUE,NA,NA,41A,13.17693195178659,364.35432823503385,283.6220437536983
782D5207,C_20,30.651795350853284,186381.35459830193,447888.5314311537,knn,TRUE,NA,NA,41A,13.17693195178659,364.35432823503385,283.6220437536983
4B2A5555,C_21,37.32639383001908,186332.5396955456,447909.13288653834,knn,TRUE,NA,NA,41A,18.970011747764552,357.5473543136331,273.17152456079043
55346178,C_21,33.11184043145618,186365.4128751886,447922.6585049823,knn,TRUE,NA,NA,41A,18.970011747764552,357.5473543136331,273.17152456079043
782D5207,C_21,30.18375886423079,186365.3167210408,447919.73200262553,knn,TRUE,NA,NA,41A,18.970011747764552,357.5473543136331,273.17152456079043
4B2A5555,C_22,36.882345212493426,186382.1174907061,447896.4230780506,knn,TRUE,NA,NA,41A,42.375908830304184,352.3450712027972,264.67697284932234
55346178,C_22,23.41045852854445,186379.14934051305,447847.1663939252,knn,TRUE,NA,NA,41A,42.375908830304184,352.3450712027972,264.67697284932234
782D5207,C_22,17.859923953202077,186354.84201843612,447848.96331781254,knn,TRUE,NA,NA,41A,42.375908830304184,352.3450712027972,264.67697284932234
55346178,C_23,35.86498333290115,186387.98341308985,447814.1779224736,knn,TRUE,NA,NA,28A,54.63133400482221,348.4629791757128,258.3314113374796
4B2A5555,C_23,23.94431236857045,186378.9293924849,447822.0088360773,knn,TRUE,NA,NA,28A,54.63133400482221,348.4629791757128,258.3314113374796
782D5207,C_23,52.90468877883048,186394.07431859695,447797.0132269611,knn,TRUE,NA,NA,28A,54.63133400482221,348.4629791757128,258.3314113374796
55346178,C_3,50.37209318052165,186336.09587415555,447782.14669652,knn,TRUE,NA,NA,28A,21.62102718886379,360.8049417675264,277.6780598619198
4B2A5555,C_3,55.9577379079667,186409.48195345912,447738.0086424692,knn,TRUE,NA,NA,28A,21.62102718886379,360.8049417675264,277.6780598619198
782D5207,C_3,58.26223460374003,186426.15656271137,447746.5758136914,knn,TRUE,NA,NA,28A,21.62102718886379,360.8049417675264,277.6780598619198
55346178,C_4,35.14188353801266,186409.07097992013,447738.0358704525,knn,TRUE,NA,NA,28A,42.461287431125015,361.48758338306385,278.4534486337231
782D5207,C_4,73.15218598663377,186316.00099012384,447740.119720297,knn,TRUE,NA,NA,28A,42.461287431125015,361.48758338306385,278.4534486337231
4B2A5555,C_4,58.99812218674688,186374.58763000573,447705.7947192101,knn,TRUE,NA,NA,28A,42.461287431125015,361.48758338306385,278.4534486337231
55346178,C_5,36.90073445765917,186358.64567035495,447765.2901084083,knn,FALSE,NA,NA,26,45.29579513258808,363.45717925881905,281.45610880277707
4B2A5555,C_5,26.217106975524807,186375.8483002998,447714.0580835245,knn,FALSE,NA,NA,26,45.29579513258808,363.45717925881905,281.45610880277707
782D5207,C_5,40.98350384804024,186346.64294407223,447722.8685029415,knn,FALSE,NA,NA,26,45.29579513258808,363.45717925881905,281.45610880277707
55346178,C_6,29.63066954616627,186358.35510215117,447698.2897419103,knn,FALSE,NA,NA,26,37.8186424251517,366.80247527702306,286.61604858897175
