cp,tag,x_cal,y_cal,x_est,y_est,error
C_1,4B2A5555,186387.66662859984,447838.77812186163,186382.42769720836,447823.4846027973,16.16595581755862
C_1,55346178,186387.66662859984,447838.77812186163,186345.35473206645,447827.17924157175,43.87289154171215
C_1,782D5207,186387.66662859984,447838.77812186163,186396.29159252273,447806.68387792923,33.232973027755314
C_13,4B2A5555,186377.81680670183,447538.9847415364,186404.0905981355,447527.04185835196,28.86077918310685
C_13,55346178,186377.81680670183,447538.9847415364,186371.38632074124,447625.0404087754,86.2955909281599
C_13,782D5207,186377.81680670183,447538.9847415364,186352.87146758015,447514.1072605666,35.23008662062388
C_14,4B2A5555,186376.99600605428,447514.00195852807,186370.97385515465,447543.03684694914,29.65284214172175
C_14,55346178,186376.99600605428,447514.00195852807,186381.95738992008,447547.9134449234,34.27249975425442
C_14,782D5207,186376.99600605428,447514.00195852807,186347.7881443772,447593.52203038963,84.71446755198234
C_15,4B2A5555,186376.17520815207,447489.01917532866,186352.30919901392,447509.7482060841,31.611376247216565
C_15,55346178,186376.17520815207,447489.01917532866,186374.9201826006,447547.161710462,58.15607862353844
C_15,782D5207,186376.17520815207,447489.01917532866,186402.9989600583,447552.1692479434,68.61082522147025
C_16,4B2A5555,186375.35441299475,447464.03639192047,186349.65289321152,447495.1271438436,40.3386040204082
C_16,55346178,186375.35441299475,447464.03639192047,186374.89277277465,447524.5198942076,60.48526399553589
C_16,782D5207,186375.35441299475,447464.03639192047,186340.56224824625,447490.1890493304,43.525351434418475
C_17,4B2A5555,186367.6089075527,447989.4956527854,186346.32661505925,447916.8474525069,75.70136707804174
C_17,55346178,186367.6089075527,447989.4956527854,186332.397069977,447933.0245102714,66.54970655304079
C_17,782D5207,186367.6089075527,447989.4956527854,186385.21292175827,447972.31920723175,24.595357244973354
C_18,4B2A5555,186366.78805729173,447964.51287064806,186377.28736984901,447969.73010497424,11.724124623599891
C_18,55346178,186366.78805729173,447964.51287064806,186294.2913365762,447951.9418857079,73.57855786078645
