est_method,nodes,tag,x,y,x_est,y_est,cp,error,node_count
ml,odd,07614B78,185860.5651371245,447781.06718527677,185944.8301447944,447814.8074588646,W_19,90.76892408411275,4
ml,odd,072A5219,185860.5651371245,447781.06718527677,185907.62196567672,447722.26736550033,W_19,75.31111418067351,3
ml,odd,07614B78,185861.38596942142,447806.0500238694,185909.53880534557,447825.1582577136,W_18,51.80560016237121,4
ml,odd,072A5219,185861.38596942142,447806.0500238694,185905.3511141687,447766.94729561376,W_18,58.83839995855126,4
ml,odd,66782A34,185861.38596942142,447806.0500238694,185929.22325362707,447819.7803614767,W_18,69.21285501415235,4
ml,odd,072A5219,185862.20680446044,447831.03286227916,185943.05801858718,447822.00248474954,W_17,81.35395838000596,3
ml,odd,66782A34,185862.20680446044,447831.03286227916,185931.30951435145,447827.7900651773,W_17,69.17875575149648,4
ml,odd,07614B78,185862.20680446044,447831.03286227916,185940.37574924206,447799.45514266996,W_17,84.30620560782239,3
ml,odd,66782A34,185863.02764224046,447856.0157004754,185929.78102268794,447825.6180484656,W_16,73.34869493641017,4
ml,odd,07614B78,185863.02764224046,447856.0157004754,185948.2827379091,447819.48025136517,W_16,92.75381598161825,3
ml,odd,072A5219,185863.02764224046,447856.0157004754,185929.1321951588,447798.8983828659,W_16,87.36246269100776,3
ml,odd,07614B78,185863.84848276142,447880.99853847845,185927.75341556093,447767.34527040407,W_15,130.38752156590166,4
ml,odd,072A5219,185863.84848276142,447880.99853847845,185932.4183195091,447790.89011390245,W_15,113.23140329066413,4
ml,odd,66782A34,185863.84848276142,447880.99853847845,185942.1022671432,447763.8335328812,W_15,140.89461773491996,3
ml,odd,072A5219,185864.669326024,447905.98137627915,185928.0384405709,447903.13698833535,W_14,63.43291906598518,4
ml,odd,07614B78,185864.669326024,447905.98137627915,185896.5420448177,447933.74318967893,W_14,42.26805515452916,4
ml,odd,66782A34,185864.669326024,447905.98137627915,185888.95916818015,447957.56548051717,W_14,57.01680666267715,4
ml,odd,072A5219,185865.49017202793,447930.96421388286,185823.27903864573,447988.01254912675,W_13,70.96683968945457,1
ml,odd,07614B78,185865.49017202793,447930.96421388286,185823.27903864573,447988.01254912675,W_13,70.96683968945457,1
ml,odd,66782A34,185865.49017202793,447930.96421388286,185823.27903864573,447988.01254912675,W_13,70.96683968945457,1
ml,odd,66782A34,185866.31102077314,447955.94705128815,185921.1533598633,447943.3639065472,W_12,56.267376768886955,4
ml,odd,07614B78,185866.31102077314,447955.94705128815,185953.34698229152,447937.41858382977,W_12,88.98630627116727,4
ml,odd,072A5219,185866.31102077314,447955.94705128815,185858.41551823527,447972.79361386184,W_12,18.60498940807532,4
ml,odd,66782A34,185867.13187225995,447980.92988850223,185897.81037603348,447962.8544972213,W_11,35.607448149802735,4
ml,odd,072A5219,185867.13187225995,447980.92988850223,185861.6012560898,447978.7791701122,W_11,5.934079946764608,4
ml,odd,07614B78,185867.13187225995,447980.92988850223,185905.29232843904,447960.3730427639,W_11,43.34517646180696,4
ml,odd,66782A34,185867.95272648733,448005.9127255024,185841.80536364872,447994.301447816,W_10,28.609550030091373,2
ml,odd,07614B78,185867.95272648733,448005.9127255024,185851.87254135028,447997.7188271656,W_10,18.047501876862924,2
ml,odd,072A5219,185867.95272648733,448005.9127255024,185835.4211510408,447992.13427929743,W_10,35.329151997422365,2
ml,odd,07614B78,185868.77358345612,448030.8955623189,185838.26944004683,447993.1011528846,W_9,48.56871575018838,2
ml,odd,072A5219,185868.77358345612,448030.8955623189,185844.7114527236,447995.28794222,W_9,42.9754435055397,2
ml,odd,66782A34,185868.77358345612,448030.8955623189,185848.09108137173,447996.4351823909,W_9,40.19059189975532,2
ml,odd,66782A34,185869.5944431666,448055.8783989265,185877.8751380711,448006.5456031394,W_8,50.02294121977282,2
ml,odd,07614B78,185869.5944431666,448055.8783989265,185915.5436270358,448019.3324532639,W_8,58.710592252331466,2
ml,odd,072A5219,185869.5944431666,448055.8783989265,185920.5876893791,448021.0446979354,W_8,61.7551445956433,2
ml,odd,07614B78,185870.41530561843,448080.8612353399,185909.1625141788,448017.16633681,W_7,74.55458584122836,2
ml,odd,072A5219,185870.41530561843,448080.8612353399,185928.83887693266,448023.84562541835,W_7,81.63389896258465,2
ml,odd,66782A34,185870.41530561843,448080.8612353399,185921.92983453177,448021.50029912946,W_7,78.59686658475631,2
ml,odd,66782A34,185871.2361708117,448105.8440715523,185880.27154351678,448007.3590808366,W_6,98.89859127504899,2
ml,odd,072A5219,185871.2361708117,448105.8440715523,185914.8687193262,448019.10335080087,W_6,97.09661130205609,2
ml,odd,07614B78,185871.2361708117,448105.8440715523,185963.17198533748,448035.5002555183,W_6,115.76029736805756,2
ml,odd,66782A34,185872.05703874584,448130.82690757484,185894.2004674672,448012.0873543058,W_5,120.78664225017887,2
ml,odd,072A5219,185872.05703874584,448130.82690757484,185938.69087917614,448027.1902767345,W_5,123.20965847867802,2
ml,odd,07614B78,185872.05703874584,448130.82690757484,185911.74422383183,448018.04271956114,W_5,119.56314534988985,2
ml,odd,66782A34,185872.87790942148,448155.80974339356,185924.84402018046,448022.489545174,W_4,143.09001335074822,2
ml,odd,07614B78,185872.87790942148,448155.80974339356,185912.91721993248,448018.440900115,W_4,143.08509876952508,2
ml,odd,072A5219,185872.87790942148,448155.80974339356,185953.32849350144,448032.15881456505,W_4,147.51897735193415,2
ml,odd,07614B78,185879.80222610146,447605.3664978054,185903.32612134848,447604.19808025373,W_3,23.55289466643186,2
ml,odd,072A5219,185879.80222610146,447605.3664978054,185903.66845456796,447602.2877049757,W_3,24.063994400423883,2
ml,odd,66782A34,185879.80222610146,447605.3664978054,185903.85894557872,447601.22467687103,W_3,24.41066227409489,2
