tag,cp,error,x_cal,y_cal,x_est,y_est
782D5207,C_5,40.98350384804024,186384.38331070956,447738.84699829447,186346.64294407226,447722.8685029415
55346178,C_6,29.63066954616627,186383.56248810005,447713.86421690555,186358.35510215117,447698.2897419103
782D5207,C_6,44.27106755132471,186383.56248810005,447713.86421690555,186342.1320283944,447698.26151102764
4B2A5555,C_6,24.999777669866013,186383.56248810005,447713.86421690555,186408.5314998611,447712.62432367646
55346178,C_7,66.5081533438969,186382.7416682357,447688.8814353113,186316.2702379264,447691.0912800679
782D5207,C_7,16.765574004950707,186382.7416682357,447688.8814353113,186383.7727240984,447705.6152751433
4B2A5555,C_7,18.456888225532605,186382.7416682357,447688.8814353113,186397.0785879906,447677.25777603756
55346178,C_8,42.035097648990764,186381.92085111726,447663.89865351433,186349.23005976557,447690.32329343923
782D5207,C_8,44.76222742690447,186381.92085111726,447663.89865351433,186365.95956410724,447705.7184373636
4B2A5555,C_8,28.30476374014838,186381.92085111726,447663.89865351433,186397.6497000052,447687.4308221999
07610752,D_1,35.30307215721548,186361.04218232975,447789.6333900729,186335.24075359543,447765.5378888537
78335578,D_1,19.541042880068236,186361.04218232975,447789.6333900729,186378.8364446201,447797.7090687678
34191966,D_1,41.67733457889648,186361.04218232975,447789.6333900729,186395.18381382988,447813.5363023664
07610752,D_12,87.47509209853513,186352.01322200985,447514.82275793125,186420.21113161926,447569.60356536007
34191966,D_12,61.05052869780743,186352.01322200985,447514.82275793125,186403.30742020987,447547.9297403564
78335578,D_12,26.140167179073106,186352.01322200985,447514.82275793125,186326.93665100876,447507.4421125003
07610752,D_13,29.778832863250738,186351.19242390522,447489.8399719803,186366.75708954083,447515.22737181466
34191966,D_13,16.586787497186922,186351.19242390522,447489.8399719803,186350.4106949023,447473.27161601954
78335578,D_13,15.586160721932949,186351.19242390522,447489.8399719803,186352.6050024192,447505.36198950355
07610752,D_14,99.8553365280123,186350.37162854627,447464.85718583665,186286.05276646646,447541.2389389841
78335578,D_14,95.86050402689692,186350.37162854627,447464.85718583665,186303.23907163664,447548.3302851648
34191966,D_14,79.1016029233204,186350.37162854627,447464.85718583665,186300.315384189,447526.10615305963
07610752,D_15,100.59307576266302,186349.5508359318,447439.8743994716,186294.50435075772,447524.06971621414
78335578,D_15,94.51842951092722,186349.5508359318,447439.8743994716,186285.0154521882,447508.9317507261
34191966,D_15,68.27635341879812,186349.5508359318,447439.8743994716,186363.9633569981,447506.61224235466
07610752,D_16,18.973535036162474,186343.44697776978,448015.2992892355,186325.83004771074,448008.25380791316
34191966,D_16,23.75908451348548,186343.44697776978,448015.2992892355,186326.5731562906,447998.57301512535
78335578,D_16,35.7546073289579,186343.44697776978,448015.2992892355,186325.76637147873,447984.22215766856
34191966,D_17,23.71303876130558,186342.62612456517,447990.3165045468,186324.6392695363,447974.8639561011
07610752,D_17,26.643129404684437,186342.62612456517,447990.3165045468,186317.9461772901,448000.3542606195
78335578,D_17,23.143660107796553,186342.62612456517,447990.3165045468,186325.91586874946,448006.32888581126
07610752,D_18,35.217649984734145,186341.80527410615,447965.3337196534,186376.38047633905,447972.02985742094
34191966,D_18,40.103375074035846,186341.80527410615,447965.3337196534,186381.89973943878,447964.4884137802
78335578,D_18,79.8834520119066,186341.80527410615,447965.3337196534,186416.81545580347,447937.85939441924
34191966,D_19,1.3929151913868496,186340.98442639218,447940.3509345636,186340.93868745933,447938.95877053577
