tag,cp,error,x_cal,y_cal,x_est,y_est,node_count,round,dets,habitat
07610752,B_19,25.8198448664353,186392.59168779443,447988.6748012394,186367.4516843608,447994.5607689833,24,two,266,3
554B554C,B_19,25.732863033114803,186392.59168779443,447988.6748012394,186367.51799743547,447994.4618809574,20,two,223,3
2D1E4C2A,B_2,58.8715179956227,186414.291082308,447887.92284207226,186371.8711069118,447847.10126299335,19,one,NA,2
2D2D5555,B_2,62.9306098967773,186414.291082308,447887.92284207226,186391.82876677677,447946.70809569047,12,one,NA,2
521E521E,B_2,41.98641498837077,186414.291082308,447887.92284207226,186407.54767541305,447929.3641922798,16,one,NA,2
071E2A4C,B_2,37.08291640034431,186414.291082308,447887.92284207226,186431.25354798575,447920.8988552771,23,two,274,2
07610752,B_2,48.09564179065831,186414.291082308,447887.92284207226,186412.43330050487,447935.9825903657,23,two,312,2
554B554C,B_2,38.80580717034924,186414.291082308,447887.92284207226,186445.46210819235,447911.0368597987,20,two,264,2
2D1E4C2A,B_20,26.627776544191708,186391.77083773172,447963.6920218405,186367.08943448187,447973.6853604871,17,one,NA,3
2D2D5555,B_20,7.788646215883217,186391.77083773172,447963.6920218405,186389.4404052275,447956.2601920376,9,one,NA,3
521E521E,B_20,18.373168319015747,186391.77083773172,447963.6920218405,186376.02798862365,447973.1649314273,11,one,NA,3
071E2A4C,B_20,39.61802169039909,186391.77083773172,447963.6920218405,186367.03148865848,447994.6363630048,17,two,208,3
07610752,B_20,38.31213966431478,186391.77083773172,447963.6920218405,186357.06276189655,447979.9145221866,23,two,270,3
554B554C,B_20,51.77043443375003,186391.77083773172,447963.6920218405,186347.342998895,447990.269174016,20,two,244,3
2D1E4C2A,B_21,41.43184431964541,186390.9499904148,447938.7092422332,186432.35948900488,447937.34867241007,20,one,NA,2
2D2D5555,B_21,35.295346905256395,186390.9499904148,447938.7092422332,186384.18346798985,447904.0685770053,12,one,NA,2
521E521E,B_21,37.31487687182763,186390.9499904148,447938.7092422332,186423.8339067967,447921.0726870325,11,one,NA,2
071E2A4C,B_21,15.9412927079107,186390.9499904148,447938.7092422332,186406.43710295073,447942.487357967,26,two,320,2
07610752,B_21,17.98005716463422,186390.9499904148,447938.7092422332,186406.87220777132,447947.0618136992,27,two,278,2
554B554C,B_21,30.23327760609928,186390.9499904148,447938.7092422332,186396.6169436689,447968.406661576,22,two,264,2
2D1E4C2A,B_22,34.65128767455177,186390.1291458436,447913.7264624414,186356.2020484868,447906.6792074831,24,one,NA,2
2D2D5555,B_22,12.815764071213929,186390.1291458436,447913.7264624414,186396.97261776996,447902.8908405985,15,one,NA,2
521E521E,B_22,20.771487539699628,186390.1291458436,447913.7264624414,186404.09494147045,447898.35079181794,13,one,NA,2
071E2A4C,B_22,37.63276203024747,186390.1291458436,447913.7264624414,186388.5775141668,447951.32722330024,25,two,330,2
07610752,B_22,31.263682899424808,186390.1291458436,447913.7264624414,186421.328234466,447911.7177968229,27,two,283,2
554B554C,B_22,28.14048653320912,186390.1291458436,447913.7264624414,186412.33160753705,447931.0162766994,24,two,258,2
2D1E4C2A,B_23,50.52932678621765,186389.308304017,447888.7436824548,186438.7038994582,447878.0999981078,22,one,NA,2_3
521E521E,B_23,38.95387910361734,186389.308304017,447888.7436824548,186390.5874957847,447927.6765524446,15,one,NA,2_3
2D2D5555,B_23,33.234887710197,186389.308304017,447888.7436824548,186397.77179295063,447920.88286595687,19,one,NA,2_3
071E2A4C,B_23,74.80492073712729,186389.308304017,447888.7436824548,186404.17086572753,447815.43010645494,26,two,385,2_3
07610752,B_23,60.19190880624175,186389.308304017,447888.7436824548,186428.9259752363,447843.42805586866,31,two,382,2_3
554B554C,B_23,53.91306070669406,186389.308304017,447888.7436824548,186429.55053905208,447852.86638274946,26,two,343,2_3
2D1E4C2A,B_24,11.423436303089698,186388.4874649356,447863.7609022563,186381.6353783492,447854.62067215075,25,one,NA,2
2D2D5555,B_24,45.762818100155506,186388.4874649356,447863.7609022563,186405.6721512285,447906.1746037864,15,one,NA,2
521E521E,B_24,45.201954861241866,186388.4874649356,447863.7609022563,186407.08376684468,447904.9603473811,15,one,NA,2
071E2A4C,B_24,44.49726643182925,186388.4874649356,447863.7609022563,186427.37017588993,447842.1243242287,35,two,440,2
07610752,B_24,31.59788795920631,186388.4874649356,447863.7609022563,186397.8739377997,447833.5893817336,32,two,448,2
554B554C,B_24,44.59210429008208,186388.4874649356,447863.7609022563,186427.62637916763,447842.3926744928,31,two,379,2
2D1E4C2A,B_3,48.26584015983743,186413.47024342607,447862.9400646252,186385.35974208624,447823.7049905108,20,one,NA,2
2D2D5555,B_3,45.24559540512881,186413.47024342607,447862.9400646252,186382.12865996704,447895.572395983,12,one,NA,2
