k,tag,cp,error,x_cal,y_cal,x_est,y_est,node_count
9,072D1E2A,WNC_11,9.820695747716375,185898.65521849552,447887.3442473842,185903.72248339283,447895.7566722088,34
9,2D2A784C,WNC_11,32.515311664020196,185898.65521849552,447887.3442473842,185866.53353736564,447882.30013259576,39
9,6119331E,WNC_11,17.04085190051535,185898.65521849552,447887.3442473842,185913.20292176786,447896.2186466875,35
9,2D331955,WNC_12,17.4965796490833,186039.26162378758,447608.1720063612,186022.40334568569,447603.48919109086,37
9,4C2A341E,WNC_12,10.793506588871894,186039.26162378758,447608.1720063612,186036.48942245173,447618.60343407927,41
9,78524B34,WNC_12,14.71345395988415,186039.26162378758,447608.1720063612,186027.13314440742,447599.84219751856,40
9,072D1E2A,WNC_13,34.558093836333285,185920.04866537015,447957.6812937684,185927.67583952553,447923.9753882917,34
9,2D2A784C,WNC_13,33.05165267851763,185920.04866537015,447957.6812937684,185921.87226244388,447924.6799871504,39
9,6119331E,WNC_13,39.75647946720375,185920.04866537015,447957.6812937684,185939.68562624164,447923.11299286486,34
9,2D331955,WNC_14,22.093223433399086,186068.7667467154,447654.6396121926,186080.80252740593,447636.1125912543,42
9,4C2A341E,WNC_14,35.208947040967985,186068.7667467154,447654.6396121926,186047.84100434923,447626.3238346444,42
9,78524B34,WNC_14,16.490627119892192,186068.7667467154,447654.6396121926,186075.48755797665,447639.5806786713,42
9,072D1E2A,WNC_15,70.07604621548714,185933.7038908671,448002.82813259406,185882.7767181038,448050.9641412314,30
9,2D2A784C,WNC_15,40.59128487816935,185933.7038908671,448002.82813259406,185898.3726550287,447982.84423452104,38
9,6119331E,WNC_15,57.768160349330714,185933.7038908671,448002.82813259406,185891.98259638977,448042.784282775,30
9,2D331955,WNC_16,31.213582005034677,186083.53954317275,447685.6652157707,186057.09547346097,447669.08212562854,39
9,4C2A341E,WNC_16,52.19368322787898,186083.53954317275,447685.6652157707,186039.94640382196,447656.962972471,40
9,78524B34,WNC_16,12.100955106597647,186083.53954317275,447685.6652157707,186075.0925882228,447677.00022491295,42
9,072D1E2A,WNC_17,56.03003692767462,185974.52979989792,448027.22615737736,185981.0965930075,448082.870045329,27
9,2D2A784C,WNC_17,19.098748319954755,185974.52979989792,448027.22615737736,185992.83231338207,448021.76903473336,37
9,6119331E,WNC_17,28.599523302593923,185974.52979989792,448027.22615737736,185990.97900659702,448050.62180509453,28
9,4C2A341E,WNC_18,57.848163933452824,186117.2538089772,447662.4027910548,186062.61211054688,447643.4108226702,41
9,78524B34,WNC_18,27.460652094116167,186117.2538089772,447662.4027910548,186096.1999314121,447644.7726562593,42
9,2D331955,WNC_18,5.822801507352704,186117.2538089772,447662.4027910548,186116.18045173702,447656.67977422546,41
9,072D1E2A,WNC_19,32.228766743255235,185945.44923440256,447990.44183618773,185927.65651278425,448017.31398651487,34
9,2D2A784C,WNC_19,21.02021845576791,185945.44923440256,447990.44183618773,185966.04138273344,447986.22128989047,36
9,6119331E,WNC_19,25.331475445961022,185945.44923440256,447990.44183618773,185934.01248049474,448013.0445862045,32
9,2D331955,WNC_20,49.02122720384404,186147.84192522123,447656.0284326486,186099.10116970504,447650.7920724355,41
9,4C2A341E,WNC_20,79.45750267473865,186147.84192522123,447656.0284326486,186068.64208082852,447649.6347342294,41
9,78524B34,WNC_20,39.044845388213744,186147.84192522123,447656.0284326486,186109.72213043703,447647.5796932752,40
9,072D1E2A,WNC_21,29.624744873483234,185985.768596493,447963.9927168189,185999.88588635105,447937.94799305603,36
9,6119331E,WNC_21,22.101437670543888,185985.768596493,447963.9927168189,185970.03004371937,447948.4759032382,36
9,2D2A784C,WNC_21,34.635953091294375,185985.768596493,447963.9927168189,185973.67514561818,447931.5366281377,39
9,2D331955,WNC_22,29.683592675412253,186127.2118692656,447650.77971498476,186097.74907580594,447647.1659253293,41
9,4C2A341E,WNC_22,102.45895116945927,186127.2118692656,447650.77971498476,186030.35153944127,447617.3744282614,41
9,78524B34,WNC_22,29.618427600004512,186127.2118692656,447650.77971498476,186097.82348580624,447647.0954007823,42
9,072D1E2A,WNC_23,16.24164288986851,186014.90222076402,447937.6887726647,186012.40874517412,447921.63967476966,37
9,2D2A784C,WNC_23,13.14957012266512,186014.90222076402,447937.6887726647,186008.01399279595,447926.48772316606,42
9,6119331E,WNC_23,7.927726162022088,186014.90222076402,447937.6887726647,186009.996256201,447931.46138526656,37
9,2D331955,WNC_24,3.691177178229337,186055.69245257555,447660.3493710586,186052.10954974417,447659.46190485527,42
9,4C2A341E,WNC_24,14.687198915499065,186055.69245257555,447660.3493710586,186064.72058510323,447648.76461231936,42
9,78524B34,WNC_24,20.706197551864403,186055.69245257555,447660.3493710586,186049.32038783,447640.64801557385,41
9,2D2A784C,WNC_25,47.25298623764751,186050.49083847192,447877.3861686749,186011.39704026107,447903.9289577112,41
