cp,tag,x_cal,y_cal,x_est,y_est,error
D_16,78335578,186343.44697776978,448015.299289238,186333.828125,447972.4375,43.92784202859695
D_17,07610752,186342.62612456523,447990.3165045468,186306.921875,447965.25,43.624798993351504
D_17,34191966,186342.62612456523,447990.3165045468,186326,447997.125,17.966180128086283
D_17,78335578,186342.62612456523,447990.3165045468,186332.84375,448023.21875,34.325684377702736
D_18,07610752,186341.80527410615,447965.3337196534,186377.21875,448001.28125,50.46126447981435
D_18,34191966,186341.80527410615,447965.3337196534,186387.8125,447900.3125,79.65189162641694
D_18,78335578,186341.80527410615,447965.3337196534,186423.359375,447961.84375,81.62874040915577
D_19,07610752,186340.98442639218,447940.3509345636,186380.90625,447959.4375,44.24984723511578
D_19,34191966,186340.98442639218,447940.3509345636,186346.921875,447956.25,16.97155201273588
D_19,78335578,186340.98442639218,447940.3509345636,186335.0625,447912.9375,28.04577698634661
D_2,07610752,186360.22135402987,447764.65060632967,186420.4375,447758.5,60.52944897914317
D_2,34191966,186360.22135402987,447764.65060632967,186397.375,447759.25,37.54410682919355
D_2,78335578,186360.22135402987,447764.65060632967,186308.53125,447851.65625,101.20202016317283
D_20,07610752,186340.16358142276,447915.3681492833,186374.328125,447924.1875,35.284514803315226
D_20,34191966,186340.16358142276,447915.3681492833,186364.84375,447963.46875,54.0627275515192
D_20,78335578,186340.16358142276,447915.3681492833,186356.109375,447946.5625,35.033638826781086
D_21,07610752,186339.34273919827,447890.385363798,186382.734375,447841.53125,65.34185865537174
D_21,34191966,186339.34273919827,447890.385363798,186340.3125,447885.21875,5.25683689592167
D_21,78335578,186339.34273919827,447890.385363798,186272.5,447956.21875,93.81890279868294
D_22,07610752,186338.5218997189,447865.40257811034,186331.1875,447836.34375,29.970133639726335
D_22,34191966,186338.5218997189,447865.40257811034,186369.640625,447867.03125,31.161316327207054
D_22,78335578,186338.5218997189,447865.40257811034,186373,447789.53125,83.33785351339496
D_23,07610752,186337.701062984,447840.4197922279,186348.03125,447832.09375,13.267846206764595
D_23,34191966,186337.701062984,447840.4197922279,186363.15625,447810.03125,39.64126694187217
D_23,78335578,186337.701062984,447840.4197922279,186297.953125,447818.28125,45.49740240890253
D_24,07610752,186336.8802289946,447815.43700614874,186315.515625,447791.34375,32.2014176038031
D_24,34191966,186336.8802289946,447815.43700614874,186389.25,447851.0625,63.33852482735281
D_24,78335578,186336.8802289946,447815.43700614874,186265.734375,447825.28125,71.82368465640268
D_3,07610752,186359.40052847474,447739.66782239324,186278.890625,447735.90625,80.59772939966442
D_3,34191966,186359.40052847474,447739.66782239324,186395.0625,447770.84375,47.367865428056064
D_3,78335578,186359.40052847474,447739.66782239324,186394.875,447708.875,46.974844767578254
D_4,07610752,186358.579705665,447714.685038251,186342.640625,447715.15625,15.946044429824152
D_4,34191966,186358.579705665,447714.685038251,186332.46875,447684.21875,40.1245152684999
